Time (s),Elbow F/E Pos,Forearm P/S Pos,Wrist F/E Pos,Wrist R/U Pos,Last DoF Pos,Elbow F/E Pos (Deg),Forearm P/S Pos (Deg),Wrist F/E Pos (Deg),Wrist R/U Pos (Deg),Last DoF Pos (Deg),Robot Joint 1 Pos,Robot Joint 2 Pos,Robot Joint 3 Pos,Robot Joint 4 Pos,Robot Joint 5 Pos,Elbow F/E Vel,Forearm P/S Vel,Wrist F/E Vel,Wrist R/U Pos,Last DoF Pos,Robot Joint 1 Vel,Robot Joint 2 Vel,Robot Joint 3 Vel,Robot Joint 4 Vel,Robot Joint 5 Vel
2.00036,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00136,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00236,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00337,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00436,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00536,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00636,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00739,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00837,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.00937,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
