Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.015978,-0.346117,-0.0142355,-0.17284,-0.210199,0.108998,-0.346117,-0.0142355,0.130323,0.123373,0.10972,0,0,0,0,0,0,0,0,0,0
0.016447,-0.346117,-0.0142355,-0.17284,-0.210199,0.108998,-0.346117,-0.0142355,0.130323,0.123373,0.10972,0,0,0,0,0,0,0,0,0,0
0.017437,-0.346117,-0.0142355,-0.17284,-0.210199,0.108998,-0.346117,-0.0142355,0.130323,0.123373,0.10972,0,0,0,0,0,0,0,0,0,0
0.018451,-0.346117,-0.0142355,-0.17284,-0.210199,0.108998,-0.346117,-0.0142355,0.130323,0.123373,0.10972,0,0,0,0,0,0,0,0,0,0
0.019776,-0.346117,-0.0142355,-0.172779,-0.210218,0.108997,-0.346117,-0.0142355,0.130323,0.123369,0.10972,0,0,0,0,0,0,0,0,0,0
0.020791,-0.346117,-0.0142355,-0.172779,-0.210218,0.108997,-0.346117,-0.0142355,0.130323,0.123369,0.10972,0,0,0,0,0,0,0,0,0,0
0.022252,-0.346117,-0.0142355,-0.172717,-0.210237,0.108995,-0.346117,-0.0142355,0.130323,0.123364,0.10972,0,0,0,0,0,0,0,0,0,0
0.023227,-0.346117,-0.0142355,-0.172717,-0.210237,0.108995,-0.346117,-0.0142355,0.130323,0.123364,0.10972,0,0,0,0,0,0,0,0,0,0
0.024224,-0.346117,-0.0142355,-0.172717,-0.210237,0.108995,-0.346117,-0.0142355,0.130323,0.123364,0.10972,0,0,0,0,0,0,0,0,0,0
0.025225,-0.346117,-0.0142355,-0.172717,-0.210237,0.108995,-0.346117,-0.0142355,0.130323,0.123364,0.10972,0,0,0,0,0,0,0,0,0,0
0.026229,-0.346117,-0.0142355,-0.172717,-0.210237,0.108995,-0.346117,-0.0142355,0.130323,0.123364,0.10972,0,0,0,0,0,0,0,0,0,0
0.028019,-0.346117,-0.0142355,-0.172717,-0.210237,0.108995,-0.346117,-0.0142355,0.130323,0.123364,0.10972,0,0,0,0,0,0,0,0,0,0
