time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
5.66674,19,65,-0.785398,0,0,0,-0.772603,2.13002e-09,-4.59922e-06,-0.00072821,-1.83495,-6.39711e-08,0.00013791,0.0218279
5.66773,19,65,-0.785398,0,0,0,-0.772645,2.02062e-09,-4.59608e-06,-0.00072733,-1.82873,-5.60401e-08,0.000137823,0.0218031
5.66873,19,65,-0.785398,0,0,0,-0.772687,1.90243e-09,-4.59341e-06,-0.000726561,-1.82259,-4.55628e-08,0.000137755,0.0217829
5.66973,19,65,-0.785398,0,0,0,-0.772729,1.77084e-09,-4.59147e-06,-0.000725961,-1.81653,-3.28276e-08,0.000137713,0.0217688
5.67073,19,65,-0.785398,0,0,0,-0.772771,1.62253e-09,-4.59042e-06,-0.000725579,-1.81055,-1.81933e-08,0.000137701,0.0217621
5.67173,19,65,-0.785398,0,0,0,-0.772813,1.45538e-09,-4.59037e-06,-0.00072545,-1.80466,-1.97928e-09,0.00013772,0.0217636
5.67273,19,65,-0.785398,0,0,0,-0.772854,1.2682e-09,-4.59134e-06,-0.000725598,-1.79886,1.55405e-08,0.00013777,0.0217738
5.67373,19,65,-0.785398,0,0,0,-0.772895,1.06056e-09,-4.59332e-06,-0.000726037,-1.79314,3.41319e-08,0.000137849,0.0217928
5.67473,19,65,-0.785398,0,0,0,-0.772936,8.32582e-10,-4.59622e-06,-0.000726769,-1.78751,5.35949e-08,0.000137954,0.0218207
5.67573,19,65,-0.785398,0,0,0,-0.772977,5.84804e-10,-4.59995e-06,-0.000727791,-1.78197,7.37584e-08,0.000138081,0.021857
5.67673,19,65,-0.785398,0,0,0,-0.773018,3.18081e-10,-4.60435e-06,-0.000729089,-1.77652,9.44763e-08,0.000138225,0.0219013
5.67773,19,65,-0.785398,0,0,0,-0.773058,3.3483e-11,-4.60928e-06,-0.000730643,-1.77116,1.15624e-07,0.000138381,0.0219528
5.67873,19,65,-0.785398,0,0,0,-0.773097,-2.6777e-10,-4.61457e-06,-0.00073243,-1.76589,1.37093e-07,0.000138545,0.0220108
5.67973,19,65,-0.785398,0,0,0,-0.773137,-5.84369e-10,-4.62004e-06,-0.00073442,-1.76071,1.58793e-07,0.000138712,0.0220743
5.68073,19,65,-0.785398,0,0,0,-0.773176,-9.14956e-10,-4.62554e-06,-0.000736582,-1.75562,1.80643e-07,0.000138876,0.0221422
5.68173,19,65,-0.785398,0,0,0,-0.773215,-1.25816e-09,-4.63092e-06,-0.000738882,-1.75062,2.02574e-07,0.000139033,0.0222137
5.68273,19,65,-0.785398,0,0,0,-0.773253,-1.61261e-09,-4.63605e-06,-0.000741285,-1.74571,2.24524e-07,0.000139181,0.0222875
