time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
5.13192,0,25,-0.785398,0,0,0,-0.785439,0.00233869,0.0125529,-0.00754946,0.00613592,-0.108293,-0.376165,0.226247
5.13292,0,25,-0.785398,0,0,0,-0.785439,0.00233869,0.0125529,-0.00754946,0.00613592,-0.108293,-0.376165,0.226247
5.13392,0,25,-0.785398,0,0,0,-0.785439,0.00228785,0.0125529,-0.00754946,0.00613592,-0.106798,-0.376165,0.226247
5.13492,0,25,-0.785398,0,0,0,-0.785439,0.00228785,0.0124966,-0.00752325,0.00613592,-0.106798,-0.37448,0.225463
5.13593,0,25,-0.785398,0,0,0,-0.785439,0.00228785,0.0124966,-0.00752325,0.00613592,-0.106798,-0.37448,0.225463
5.13692,0,25,-0.785398,0,0,0,-0.785439,0.00223701,0.0124966,-0.00752325,0.00613592,-0.104953,-0.37448,0.225463
5.13793,0,25,-0.785398,0,0,0,-0.785439,0.00223701,0.0124966,-0.00752325,0.00613592,-0.104953,-0.37448,0.225463
5.13893,0,25,-0.785398,0,0,0,-0.785439,0.00223701,0.0124966,-0.00752325,0.00613592,-0.104953,-0.37448,0.225463
5.13993,0,25,-0.785398,0,0,0,-0.785439,0.00218616,0.0123897,-0.00753201,0.00613592,-0.102713,-0.371289,0.22573
5.14093,0,25,-0.785398,0,0,0,-0.785439,0.00218616,0.0123897,-0.00753201,0.00613592,-0.102713,-0.371289,0.22573
5.14193,0,25,-0.785398,0,0,0,-0.785439,0.00213532,0.0123897,-0.00753201,0.00613592,-0.100054,-0.371289,0.22573
5.14293,0,25,-0.785398,0,0,0,-0.785439,0.00213532,0.0123897,-0.00753201,0.00613592,-0.100054,-0.371289,0.22573
5.14393,0,25,-0.785398,0,0,0,-0.785439,0.00213532,0.0123897,-0.00753201,0.00613592,-0.100054,-0.371289,0.22573
5.14493,0,25,-0.785398,0,0,0,-0.785439,0.00213532,0.0123897,-0.00753201,0.00613592,-0.100054,-0.371289,0.22573
5.14603,0,25,-0.785398,0,0,0,-0.785439,0.00208448,0.0123897,-0.00753201,0.00613592,-0.097571,-0.371289,0.22573
5.14703,0,25,-0.785398,0,0,0,-0.785439,0.00208448,0.0123897,-0.00753201,0.00613592,-0.097571,-0.371289,0.22573
5.14803,0,25,-0.785398,0,0,0,-0.785439,0.00208448,0.0123334,-0.0075058,0.00613592,-0.097571,-0.3697,0.224991
5.14903,0,25,-0.785398,0,0,0,-0.785439,0.00208448,0.0123334,-0.0075058,0.00613592,-0.097571,-0.3697,0.224991
5.15003,0,25,-0.785398,0,0,0,-0.785439,0.00208448,0.0123334,-0.0075058,0.00613592,-0.097571,-0.3697,0.224991
5.15103,0,25,-0.785398,0,0,0,-0.785439,0.00203364,0.0123334,-0.0075058,0.00613592,-0.0961131,-0.3697,0.224991
5.15204,0,25,-0.785398,0,0,0,-0.785439,0.00203364,0.0123334,-0.0075058,0.00613592,-0.0961131,-0.3697,0.224991
5.15304,0,25,-0.785398,0,0,0,-0.785439,0.00203364,0.0123334,-0.0075058,0.00613592,-0.0961131,-0.3697,0.224991
5.15404,0,25,-0.785398,0,0,0,-0.785439,0.00203364,0.0122771,-0.0074796,0.00613592,-0.0961131,-0.368023,0.224211
5.15529,0,25,-0.785398,0,0,0,-0.785439,0.0019828,0.0122715,-0.00741848,0.00613592,-0.0941611,-0.367858,0.222425
5.15629,0,25,-0.785398,0,0,0,-0.785439,0.0019828,0.0122715,-0.00741848,0.00613592,-0.0941611,-0.367858,0.222425
5.15729,0,25,-0.785398,0,0,0,-0.785439,0.0019828,0.0122715,-0.00741848,0.00613592,-0.0941611,-0.367858,0.222425
5.15829,0,25,-0.785398,0,0,0,-0.785439,0.0019828,0.0122715,-0.00741848,0.00613592,-0.0941611,-0.367858,0.222425
5.15929,0,25,-0.785398,0,0,0,-0.785439,0.0019828,0.0122715,-0.00741848,0.00613592,-0.0941611,-0.367858,0.222425
5.16029,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122715,-0.00741848,0.00613592,-0.0921756,-0.367858,0.222425
5.16129,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122715,-0.00741848,0.00613592,-0.0921756,-0.367858,0.222425
5.16229,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16329,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16429,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16529,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16629,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16729,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16829,0,25,-0.785398,0,0,0,-0.785439,0.00193196,0.0122152,-0.00739228,0.00613592,-0.0921756,-0.3662,0.221653
5.16929,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.17029,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.17129,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.17229,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.17329,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.17429,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1753,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1763,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1773,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1783,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1793,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1803,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0122152,-0.00739228,0.00613592,-0.0906541,-0.3662,0.221653
5.1813,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0121646,-0.00742724,0.00613592,-0.0906541,-0.364709,0.222684
5.1823,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0121646,-0.00742724,0.00613592,-0.0906541,-0.364709,0.222684
5.1834,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0121646,-0.00742724,0.00613592,-0.0906541,-0.364709,0.222684
5.18441,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0121646,-0.00742724,0.00613592,-0.0906541,-0.364709,0.222684
5.18541,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0121646,-0.00742724,0.00613592,-0.0906541,-0.364709,0.222684
5.18642,0,25,-0.785398,0,0,0,-0.785439,0.00188112,0.0121646,-0.00742724,0.00613592,-0.0906541,-0.364709,0.222684
