stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.34465,-0.202781
35,65,-0.654498,-0.814493,-0.174533,-0.174533,-0.648281,-0.804203,-0.151556,-0.161012,-0.621774,-0.288102,-0.344651,-0.202781
