time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
119.09,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.091,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.092,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.093,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.094,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.095,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.096,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.097,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.098,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.099,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.1,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.101,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.102,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.103,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.104,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.105,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.106,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0104901,-0.0186742,0.434423,-0.130153,-0.262253,0.466855
119.107,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.108,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.109,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.11,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.111,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.112,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.113,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.114,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.115,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.116,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.117,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.118,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.119,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.12,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.121,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.122,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.123,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.124,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.125,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.126,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.127,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.128,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.129,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.13,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.131,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.132,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.133,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.134,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.135,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.136,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.137,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.138,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.139,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.14,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.141,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
119.142,15,45,-0.785398,0,0,0,-0.789018,0.00325383,0.0105412,-0.0186391,0.434423,-0.130153,-0.26353,0.465978
