stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],passive_elbow_fe_trq [Nm],passive_forearm_ps_trq [Nm],passive_wrist_fe_trq [Nm],passive_wrist_ru_trq [Nm]
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04601,0.694082,-0.162933,-0.176119,-0.264214,0.226796,-0.347932,0.0471348,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04594,0.694082,-0.162996,-0.176101,-0.278749,0.226796,-0.345999,0.0466399,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04594,0.694082,-0.162996,-0.176101,-0.278749,0.226796,-0.345999,0.0466399,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04587,0.694082,-0.162993,-0.176042,-0.300992,0.226796,-0.346076,0.0448437,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04587,0.694082,-0.162993,-0.176042,-0.300992,0.226796,-0.346076,0.0448437,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04587,0.694082,-0.162993,-0.176042,-0.300992,0.226796,-0.346076,0.0448437,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.0458,0.694082,-0.162991,-0.175982,-0.34548,0.226796,-0.346152,0.0430737,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.0458,0.694082,-0.162991,-0.175982,-0.34548,0.226796,-0.346152,0.0430737,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.0458,0.694082,-0.162991,-0.175982,-0.34548,0.226796,-0.346152,0.0430737,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694082,-0.162991,-0.175982,-0.358711,0.226796,-0.346152,0.0430737,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694082,-0.163053,-0.175965,-0.358711,0.226796,-0.34423,0.0426414,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694082,-0.163053,-0.175965,-0.358711,0.226796,-0.34423,0.0426414,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694082,-0.163053,-0.175965,-0.358711,0.226796,-0.34423,0.0426414,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163053,-0.175965,-0.358711,0.229643,-0.34423,0.0426414,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163051,-0.175905,-0.358711,0.229643,-0.344305,0.0409017,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163051,-0.175905,-0.358711,0.229643,-0.344305,0.0409017,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163051,-0.175905,-0.358711,0.229643,-0.344305,0.0409017,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163048,-0.175845,-0.358711,0.229643,-0.344379,0.0391596,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163048,-0.175845,-0.358711,0.229643,-0.344379,0.0391596,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163048,-0.175845,-0.358711,0.229643,-0.344379,0.0391596,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.694031,-0.163048,-0.175845,-0.358051,0.229643,-0.344379,0.0391596,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.69398,-0.163045,-0.175785,-0.352873,0.233606,-0.344456,0.0373727,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.69398,-0.163045,-0.175785,-0.348476,0.233606,-0.344456,0.0373727,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.69398,-0.163045,-0.175785,-0.344696,0.233606,-0.344456,0.0373727,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.69398,-0.163045,-0.175785,-0.34141,0.233606,-0.344456,0.0373727,-0.609502,0.204019,-0.28147,-0.124182
25,55,-1.0472,0.698132,-0.174533,-0.174533,-1.04572,0.69398,-0.163043,-0.175726,-0.338869,0.233606,-0.344533,0.0355796,-0.609502,0.204019,-0.28147,-0.124182
