time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
43.0808,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00724905,-0.0182989,0.16567,0.0911071,-0.21753,0.549
43.0818,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00724905,-0.0182989,0.16567,0.0911071,-0.21753,0.549
43.0828,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00724905,-0.0182989,0.16567,0.0911071,-0.21753,0.549
43.0838,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00724905,-0.0182989,0.16567,0.0911071,-0.21753,0.549
43.0848,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00724905,-0.0182989,0.16567,0.0911071,-0.21753,0.549
43.0858,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00724905,-0.0182989,0.16567,0.0911071,-0.21753,0.549
43.0868,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0878,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0888,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0898,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0908,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0918,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0928,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0938,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00725456,-0.0183599,0.16567,0.0911071,-0.217694,0.550824
43.0948,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.0958,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.0968,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.0978,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.0988,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.0998,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.1008,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730569,-0.0183247,0.16567,0.0911071,-0.219176,0.549805
43.1018,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1028,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1038,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1048,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1058,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1068,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1078,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1088,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.007249,-0.0182987,0.16567,0.0911071,-0.217476,0.549024
43.1098,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1108,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1118,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1128,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1138,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1148,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1158,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1168,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1178,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1188,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1198,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1208,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1218,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1228,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1238,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1248,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1258,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1268,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1278,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1288,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1298,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1308,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.0072545,-0.0183598,0.16567,0.0911071,-0.217635,0.550793
43.1318,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1328,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1338,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1348,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1358,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1368,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1378,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1388,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1398,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1408,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1418,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
43.1428,18,60,-0.785398,0,0,0,-0.786227,-0.00162691,0.00730564,-0.0183246,0.16567,0.0911071,-0.219169,0.549739
