time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
81.0736,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0746,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0756,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0766,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0776,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0786,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0796,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0806,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0816,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0826,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0836,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0846,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0856,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0866,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
81.0876,13,40,-0.785398,0,0,0,-0.790522,-0.00157607,0.00704011,-0.0251301,1.0247,0.08826,-0.211203,0.753902
