time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
157.122,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.123,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.124,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.125,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.126,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.127,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.128,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.129,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.13,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.131,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.132,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.133,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.134,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.135,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.136,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.137,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.138,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.139,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.14,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.141,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.142,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.143,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.144,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.145,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.146,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.147,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.148,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.149,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.15,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.151,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.152,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.153,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.154,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.155,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.156,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
157.157,15,30,-0.785398,0,0,0,-0.790951,-0.000813457,0.00518102,-0.02014,1.1106,0.0455536,-0.155431,0.604199
