time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
195.191,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.192,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.193,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.194,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.195,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.196,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.197,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.198,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.199,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.2,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.201,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.202,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.203,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.204,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.205,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.206,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.207,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.208,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.209,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.21,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.211,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.212,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.213,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.214,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.215,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.216,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.217,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.218,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.219,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.22,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.221,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.222,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.223,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.224,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.225,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.226,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.227,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.228,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.229,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.23,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.231,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.232,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.233,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.234,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.235,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.236,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.237,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.238,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.239,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
195.24,14,40,-0.785398,0,0,0,-0.789018,-0.00152523,0.00426088,-0.0238278,0.724039,0.0854129,-0.127826,0.714835
