time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
5.0841,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00811073,-0.030256,0.468785,-0.175919,-0.201998,0.755518
5.0851,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00805373,-0.0302302,0.468785,-0.175919,-0.200632,0.754899
5.0861,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00804826,-0.0301695,0.468785,-0.175919,-0.200508,0.753516
5.0871,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00804826,-0.0301695,0.468785,-0.175919,-0.200508,0.753516
5.0881,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00799125,-0.0301437,0.468785,-0.175919,-0.199153,0.752901
5.0891,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00793425,-0.0301178,0.468785,-0.175919,-0.197631,0.752211
5.0901,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00793425,-0.0301178,0.468785,-0.175919,-0.197631,0.752211
5.0911,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00792878,-0.0300571,0.468785,-0.175919,-0.197497,0.75073
5.0921,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00787179,-0.0300313,0.468785,-0.175919,-0.19623,0.750156
5.0931,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00786632,-0.0299706,0.468785,-0.175919,-0.196095,0.74865
5.0941,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00780933,-0.0299447,0.468785,-0.175919,-0.194645,0.747992
5.0951,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00780933,-0.0299447,0.468785,-0.175919,-0.194645,0.747992
5.0961,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00780933,-0.0299447,0.468785,-0.175919,-0.194645,0.747992
5.0971,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00775233,-0.0299189,0.468785,-0.175919,-0.193269,0.747369
5.0981,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00769534,-0.029893,0.468785,-0.175919,-0.191865,0.746732
5.0991,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00768988,-0.0298323,0.468785,-0.175919,-0.191736,0.7453
5.1001,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00768988,-0.0298323,0.468785,-0.175919,-0.191736,0.7453
5.1011,15,65,-0.785398,0,0,0,-0.789305,0.00442317,0.00768988,-0.0298323,0.468785,-0.175919,-0.191736,0.7453
5.1021,15,65,-0.785398,0,0,0,-0.789305,0.00437233,0.00768988,-0.0298323,0.468785,-0.174893,-0.191736,0.7453
5.1031,15,65,-0.785398,0,0,0,-0.789305,0.00437233,0.00768988,-0.0298323,0.468785,-0.174893,-0.191736,0.7453
5.1041,15,65,-0.785398,0,0,0,-0.789305,0.00437233,0.0076329,-0.0298065,0.468785,-0.174893,-0.190349,0.744671
5.1051,15,65,-0.785398,0,0,0,-0.789305,0.00437233,0.00757046,-0.0297199,0.468785,-0.174893,-0.18883,0.742552
