time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
195.172,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.173,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.174,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.175,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.176,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.177,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.178,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.179,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.18,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.181,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.182,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.183,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
195.184,15,45,-0.785398,0,0,0,-0.788732,0.00259289,0.00378312,-0.027634,0.400062,-0.103716,-0.094578,0.690851
