time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
5.66658,0,50,-0.785398,0,0,0,-0.7664,1.18319e-09,-7.96263e-06,-0.00147143,-1.84606,-1.55183e-08,0.000119383,0.0220627
5.66758,0,50,-0.785398,0,0,0,-0.766443,1.08864e-09,-7.95726e-06,-0.00147059,-1.84182,-1.02723e-08,0.000119308,0.0220507
5.66858,0,50,-0.785398,0,0,0,-0.766443,1.08864e-09,-7.95726e-06,-0.00147059,-1.84182,-1.02723e-08,0.000119308,0.0220507
5.66958,0,50,-0.785398,0,0,0,-0.766486,9.78852e-10,-7.95248e-06,-0.00146983,-1.83761,-3.70281e-09,0.000119243,0.0220403
5.67058,0,50,-0.785398,0,0,0,-0.766572,7.07823e-10,-7.94835e-06,-0.00146918,-1.82925,1.05894e-08,0.000119187,0.0220317
5.67158,0,50,-0.785398,0,0,0,-0.766572,7.07823e-10,-7.94488e-06,-0.00146864,-1.82925,1.05894e-08,0.000119142,0.0220248
5.67258,0,50,-0.785398,0,0,0,-0.766657,3.65685e-10,-7.94022e-06,-0.00146802,-1.82105,2.79877e-08,0.000119088,0.022019
5.67358,0,50,-0.785398,0,0,0,-0.766657,3.65685e-10,-7.94022e-06,-0.00146802,-1.82105,2.79877e-08,0.000119088,0.022019
5.67458,0,50,-0.785398,0,0,0,-0.766699,-6.75746e-11,-7.93916e-06,-0.00146799,-1.81724,5.03427e-08,0.000119081,0.0220206
5.67558,0,50,-0.785398,0,0,0,-0.766783,-3.20564e-10,-7.93959e-06,-0.00146854,-1.80904,6.17208e-08,0.000119104,0.0220328
5.67658,0,50,-0.785398,0,0,0,-0.766825,-5.96244e-10,-7.94094e-06,-0.00146912,-1.80512,7.4222e-08,0.000119131,0.0220436
5.67758,0,50,-0.785398,0,0,0,-0.766867,-8.97062e-10,-7.94304e-06,-0.00146991,-1.80126,8.79177e-08,0.00011917,0.0220577
5.67858,0,50,-0.785398,0,0,0,-0.766908,-1.22329e-09,-7.94583e-06,-0.00147093,-1.79744,1.01945e-07,0.000119218,0.0220751
5.67958,0,50,-0.785398,0,0,0,-0.766908,-1.57282e-09,-7.94583e-06,-0.00147093,-1.79777,1.16155e-07,0.000119218,0.0220751
5.68058,0,50,-0.785398,0,0,0,-0.76699,-1.94171e-09,-7.95301e-06,-0.00147357,-1.78991,1.2981e-07,0.000119335,0.0221185
5.68158,0,50,-0.785398,0,0,0,-0.767031,-2.32638e-09,-7.95714e-06,-0.00147515,-1.7862,1.43563e-07,0.0001194,0.0221439
5.68258,0,50,-0.785398,0,0,0,-0.767071,-2.72696e-09,-7.96151e-06,-0.00147689,-1.78256,1.58162e-07,0.000119467,0.0221715
5.68358,0,50,-0.785398,0,0,0,-0.767111,-3.14367e-09,-7.96604e-06,-0.00147878,-1.77895,1.72899e-07,0.000119536,0.0222013
5.68458,0,50,-0.785398,0,0,0,-0.767111,-3.14367e-09,-7.96604e-06,-0.00147878,-1.77895,1.72899e-07,0.000119536,0.0222013
5.68558,0,50,-0.785398,0,0,0,-0.767151,-3.57476e-09,-7.97062e-06,-0.0014808,-1.77539,1.87654e-07,0.000119605,0.0222328
5.68658,0,50,-0.785398,0,0,0,-0.76719,-4.01836e-09,-7.97516e-06,-0.00148293,-1.77188,2.02396e-07,0.000119672,0.0222658
5.68758,0,50,-0.785398,0,0,0,-0.767229,-4.47274e-09,-7.97958e-06,-0.00148516,-1.76841,2.17107e-07,0.000119737,0.0223
5.68858,0,50,-0.785398,0,0,0,-0.767268,-4.9363e-09,-7.98382e-06,-0.00148746,-1.76499,2.31768e-07,0.000119798,0.0223351
5.68959,0,50,-0.785398,0,0,0,-0.767306,-5.40756e-09,-7.98779e-06,-0.00148981,-1.76161,2.46364e-07,0.000119855,0.0223709
5.69059,0,50,-0.785398,0,0,0,-0.767344,-5.88517e-09,-7.99145e-06,-0.0014922,-1.75827,2.60878e-07,0.000119907,0.0224071
5.69159,0,50,-0.785398,0,0,0,-0.767381,-6.36789e-09,-7.99476e-06,-0.00149461,-1.75498,2.75295e-07,0.000119953,0.0224434
5.69259,0,50,-0.785398,0,0,0,-0.767418,-6.85456e-09,-7.99768e-06,-0.00149703,-1.75174,2.89601e-07,0.000119992,0.0224796
