time [s],stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
5.67066,0,60,-0.785398,0,0,0,-0.766425,8.20421e-10,-7.94355e-06,-0.00147241,-1.84478,-3.82804e-09,0.000119124,0.0220758
5.67166,0,60,-0.785398,0,0,0,-0.766467,7.22572e-10,-7.94065e-06,-0.0014714,-1.8406,-2.3609e-10,0.000119081,0.022061
5.67267,0,60,-0.785398,0,0,0,-0.766509,6.17472e-10,-7.93796e-06,-0.00147044,-1.83645,4.75482e-09,0.000119044,0.0220473
5.67369,0,60,-0.785398,0,0,0,-0.766551,4.99736e-10,-7.93566e-06,-0.00146957,-1.83234,1.10578e-08,0.000119014,0.0220354
5.67469,0,60,-0.785398,0,0,0,-0.766592,3.6526e-10,-7.93387e-06,-0.00146883,-1.82826,1.85125e-08,0.000118993,0.0220258
5.67569,0,60,-0.785398,0,0,0,-0.766634,2.11201e-10,-7.93268e-06,-0.00146825,-1.82421,2.69701e-08,0.000118982,0.0220188
5.67669,0,60,-0.785398,0,0,0,-0.766676,3.57401e-11,-7.93216e-06,-0.00146785,-1.82021,3.63001e-08,0.000118981,0.0220147
5.67769,0,60,-0.785398,0,0,0,-0.766717,-1.62134e-10,-7.93232e-06,-0.00146764,-1.81624,4.63886e-08,0.00011899,0.0220136
5.67869,0,60,-0.785398,0,0,0,-0.766759,-3.82799e-10,-7.93317e-06,-0.00146764,-1.8123,5.71355e-08,0.000119009,0.0220157
5.67969,0,60,-0.785398,0,0,0,-0.7668,-6.26143e-10,-7.93469e-06,-0.00146785,-1.80841,6.84525e-08,0.000119039,0.022021
5.68069,0,60,-0.785398,0,0,0,-0.766841,-8.91681e-10,-7.93683e-06,-0.00146828,-1.80456,8.02618e-08,0.000119077,0.0220295
5.6817,0,60,-0.785398,0,0,0,-0.766882,-1.17865e-09,-7.93954e-06,-0.00146892,-1.80075,9.24939e-08,0.000119123,0.0220412
5.6827,0,60,-0.785398,0,0,0,-0.766922,-1.48607e-09,-7.94276e-06,-0.00146976,-1.79698,1.05087e-07,0.000119176,0.0220559
5.6837,0,60,-0.785398,0,0,0,-0.766922,-1.48607e-09,-7.94276e-06,-0.00146976,-1.79698,1.05087e-07,0.000119176,0.0220559
5.6847,0,60,-0.785398,0,0,0,-0.766963,-1.81283e-09,-7.94639e-06,-0.00147081,-1.79325,1.17986e-07,0.000119234,0.0220735
5.68572,0,60,-0.785398,0,0,0,-0.767003,-2.15771e-09,-7.95038e-06,-0.00147204,-1.78956,1.31142e-07,0.000119297,0.0220938
5.68672,0,60,-0.785398,0,0,0,-0.767043,-2.51944e-09,-7.95462e-06,-0.00147345,-1.78591,1.44509e-07,0.000119363,0.0221167
5.68771,0,60,-0.785398,0,0,0,-0.767082,-2.8967e-09,-7.95903e-06,-0.00147502,-1.7823,1.58048e-07,0.00011943,0.0221418
5.68872,0,60,-0.785398,0,0,0,-0.767122,-3.28818e-09,-7.96354e-06,-0.00147674,-1.77874,1.71722e-07,0.000119498,0.022169
5.68972,0,60,-0.785398,0,0,0,-0.767161,-3.69258e-09,-7.96805e-06,-0.00147859,-1.77522,1.85497e-07,0.000119566,0.022198
5.69072,0,60,-0.785398,0,0,0,-0.767199,-4.1086e-09,-7.97251e-06,-0.00148056,-1.77175,1.99344e-07,0.000119632,0.0222286
5.69172,0,60,-0.785398,0,0,0,-0.767238,-4.535e-09,-7.97683e-06,-0.00148262,-1.76831,2.13235e-07,0.000119695,0.0222604
5.69272,0,60,-0.785398,0,0,0,-0.767276,-4.97056e-09,-7.98096e-06,-0.00148477,-1.76492,2.27144e-07,0.000119755,0.0222934
5.69372,0,60,-0.785398,0,0,0,-0.767313,-5.41411e-09,-7.98485e-06,-0.00148698,-1.76158,2.41048e-07,0.00011981,0.0223271
5.69472,0,60,-0.785398,0,0,0,-0.767351,-5.86454e-09,-7.98844e-06,-0.00148924,-1.75828,2.54925e-07,0.000119861,0.0223613
5.69572,0,60,-0.785398,0,0,0,-0.767388,-6.32076e-09,-7.9917e-06,-0.00149153,-1.75502,2.68754e-07,0.000119906,0.0223959
5.69672,0,60,-0.785398,0,0,0,-0.767424,-6.78177e-09,-7.9946e-06,-0.00149383,-1.7518,2.82518e-07,0.000119946,0.0224306
