time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.9,0.1,-0.689223,0.000559216,0.148551,-0.0626661,-0.689228,0.000559251,0.14856,-0.06267,4.98134e-05,-9.95411e-08,-1.41655e-05,5.97569e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0213,0.9,0.1,-0.689223,0.000559216,0.148551,-0.062666,-0.689228,0.000559251,0.14856,-0.06267,5.00987e-05,-1.00111e-07,-1.42466e-05,6.00992e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0223,0.9,0.1,-0.689223,0.000559214,0.14855,-0.0626658,-0.689228,0.000559251,0.14856,-0.06267,5.25037e-05,-1.04917e-07,-1.49306e-05,6.29844e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0233,0.9,0.1,-0.689222,0.000559212,0.14855,-0.0626656,-0.689228,0.000559251,0.14856,-0.06267,5.49866e-05,-1.09879e-07,-1.56366e-05,6.59629e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.024301,0.9,0.1,-0.689222,0.00055921,0.148549,-0.0626654,-0.689228,0.000559251,0.14856,-0.06267,5.79175e-05,-1.15735e-07,-1.64701e-05,6.94788e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.025301,0.9,0.1,-0.689222,0.000559209,0.148549,-0.0626653,-0.689228,0.000559251,0.14856,-0.06267,5.97142e-05,-1.19326e-07,-1.6981e-05,7.16342e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.026301,0.9,0.1,-0.689222,0.000559207,0.148549,-0.0626651,-0.689228,0.000559251,0.14856,-0.06267,6.19236e-05,-1.23741e-07,-1.76093e-05,7.42846e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.027301,0.9,0.1,-0.689221,0.000559205,0.148548,-0.0626649,-0.689228,0.000559251,0.14856,-0.06267,6.43169e-05,-1.28523e-07,-1.82899e-05,7.71557e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.028301,0.9,0.1,-0.689221,0.000559204,0.148548,-0.0626647,-0.689228,0.000559251,0.14856,-0.06267,6.66324e-05,-1.3315e-07,-1.89483e-05,7.99333e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.029301,0.9,0.1,-0.689221,0.000559202,0.148547,-0.0626645,-0.689228,0.000559251,0.14856,-0.06267,6.93864e-05,-1.38654e-07,-1.97315e-05,8.32371e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
