time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.8,0.2,-0.785394,0,-1.64786e-16,2.34742e-16,-0.785398,0,-1.6479e-16,2.34748e-16,0.000438567,0,6.21127e-20,-8.84813e-20,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0094,0.8,0.2,-0.785394,0,-1.64786e-16,2.34742e-16,-0.785398,0,-1.6479e-16,2.34748e-16,0.000455005,0,6.44407e-20,-9.17976e-20,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0104,0.8,0.2,-0.785393,0,-1.64785e-16,2.34741e-16,-0.785398,0,-1.6479e-16,2.34748e-16,0.00051041,0,7.22875e-20,-1.02976e-19,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.011806,0.8,0.2,-0.785392,0,-1.64784e-16,2.3474e-16,-0.785393,9.82274e-09,-1.59172e-07,-1.91125e-05,-0.0134149,-4.20413e-06,5.57168e-06,0.000668929,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.012806,0.8,0.2,-0.785392,0,-1.64784e-16,2.34739e-16,-0.785377,3.83565e-08,-6.19571e-07,-7.54405e-05,-0.0281559,-8.5584e-06,1.53193e-05,0.00187591,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.014012,0.8,0.2,-0.785391,0,-1.64783e-16,2.34739e-16,-0.78535,8.28685e-08,-1.32827e-06,-0.00016615,-0.0433275,-1.26407e-05,2.80748e-05,0.00356211,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.015013,0.8,0.2,-0.785391,0,-1.64783e-16,2.34738e-16,-0.785314,1.39992e-07,-2.22212e-06,-0.000287808,-0.0588735,-1.6449e-05,4.30612e-05,0.00568037,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.016013,0.8,0.2,-0.78539,0,-1.64782e-16,2.34737e-16,-0.785269,2.06869e-07,-3.26024e-06,-0.00043717,-0.0747565,-2.00138e-05,5.99401e-05,0.00818152,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.017013,0.8,0.2,-0.78539,0,-1.64782e-16,2.34736e-16,-0.785214,2.81121e-07,-4.41941e-06,-0.000610878,-0.0909425,-2.33509e-05,7.84414e-05,0.0110133,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.018273,0.8,0.2,-0.785389,0,-1.64781e-16,2.34735e-16,-0.785151,3.60741e-07,-5.67946e-06,-0.000805423,-0.107397,-2.64689e-05,9.8246e-05,0.014122,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
