time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.5,0.5,0.9,0.225,-0.578628,0.0204887,0.176581,-0.0703488,-0.578628,0.0204889,0.176583,-0.0703497,-4.06923e-05,-7.24151e-06,-3.34343e-05,1.332e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.004389,0.5,0.5,0.9,0.225,-0.578628,0.0204887,0.176581,-0.0703488,-0.578628,0.0204889,0.176583,-0.0703497,-4.18758e-05,-7.45211e-06,-3.44066e-05,1.37074e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.005389,0.5,0.5,0.9,0.225,-0.578628,0.0204886,0.17658,-0.0703485,-0.578628,0.0205398,0.176583,-0.0703497,-5.18573e-05,-0.00143278,-4.26078e-05,1.69747e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.00639,0.5,0.5,0.9,0.225,-0.578628,0.0204885,0.176579,-0.0703483,-0.578628,0.0205398,0.176583,-0.0703497,-6.28961e-05,-0.00143474,-5.16777e-05,2.05881e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.00739,0.5,0.5,0.9,0.225,-0.578628,0.0204885,0.176579,-0.0703481,-0.578628,0.0205398,0.176583,-0.0703497,-7.11704e-05,-0.00143621,-5.84761e-05,2.32966e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.008391,0.5,0.5,0.9,0.225,-0.578629,0.0204884,0.176578,-0.0703479,-0.578628,0.0205398,0.176583,-0.0703497,-8.07736e-05,-0.00143792,-6.63664e-05,2.644e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.009391,0.5,0.5,0.9,0.225,-0.578629,0.0204884,0.176578,-0.0703477,-0.578628,0.0205906,0.176583,-0.0703497,-9.04253e-05,-0.00286319,-7.42966e-05,2.95994e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.010391,0.5,0.5,0.9,0.225,-0.578629,0.0204883,0.176577,-0.0703475,-0.578628,0.0205906,0.176583,-0.0703497,-0.000100465,-0.00286498,-8.25456e-05,3.28857e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.011391,0.5,0.5,0.9,0.225,-0.578629,0.0204882,0.176577,-0.0703473,-0.578628,0.0205906,0.176583,-0.0703497,-0.000109864,-0.00286665,-9.02685e-05,3.59625e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.012391,0.5,0.5,0.9,0.225,-0.578629,0.0204882,0.176576,-0.0703471,-0.578628,0.0205906,0.176583,-0.0703497,-0.000119574,-0.00286838,-9.82465e-05,3.91409e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.013391,0.5,0.5,0.9,0.225,-0.578629,0.0204881,0.176576,-0.0703468,-0.578628,0.0205906,0.176583,-0.0703497,-0.000129226,-0.00287009,-0.000106177,4.23002e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.014391,0.5,0.5,0.9,0.225,-0.578629,0.0204881,0.176575,-0.0703466,-0.578628,0.0205906,0.176583,-0.0703497,-0.000139266,-0.00287188,-0.000114426,4.55866e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.015391,0.5,0.5,0.9,0.225,-0.578629,0.020488,0.176575,-0.0703464,-0.578628,0.0206415,0.176583,-0.0703497,-0.000149005,-0.00429716,-0.000122428,4.87745e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.016391,0.5,0.5,0.9,0.225,-0.578629,0.0204879,0.176574,-0.0703462,-0.578628,0.0206415,0.176583,-0.0703497,-0.000158424,-0.00429884,-0.000130167,5.18576e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.017391,0.5,0.5,0.9,0.225,-0.578629,0.0204879,0.176574,-0.070346,-0.578628,0.0206415,0.176583,-0.0703497,-0.000168046,-0.00430055,-0.000138073,5.50074e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.018391,0.5,0.5,0.9,0.225,-0.57863,0.0204878,0.176573,-0.0703458,-0.578628,0.0206415,0.176583,-0.0703497,-0.000177737,-0.00430228,-0.000146035,5.81795e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.019391,0.5,0.5,0.9,0.225,-0.57863,0.0204877,0.176573,-0.0703456,-0.578628,0.0206415,0.176583,-0.0703497,-0.000187515,-0.00430402,-0.000154069,6.13801e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.020391,0.5,0.5,0.9,0.225,-0.57863,0.0204877,0.176572,-0.0703454,-0.578628,0.0206415,0.176583,-0.0703497,-0.000197108,-0.00430572,-0.000161951,6.45204e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.021391,0.5,0.5,0.9,0.225,-0.57863,0.0204876,0.176572,-0.0703452,-0.578628,0.0206415,0.176583,-0.0703497,-0.000206789,-0.00430745,-0.000169905,6.76892e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.022391,0.5,0.5,0.9,0.225,-0.57863,0.0204876,0.176571,-0.0703449,-0.578628,0.0206415,0.176583,-0.0703497,-0.000216557,-0.00430918,-0.000177931,7.08867e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.023391,0.5,0.5,0.9,0.225,-0.57863,0.0204875,0.176571,-0.0703447,-0.578628,0.0206415,0.176583,-0.0703497,-0.000226325,-0.00431092,-0.000185957,7.40841e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.024391,0.5,0.5,0.9,0.225,-0.57863,0.0204874,0.17657,-0.0703445,-0.578628,0.0206415,0.176583,-0.0703497,-0.000235928,-0.00431263,-0.000193847,7.72276e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.025391,0.5,0.5,0.9,0.225,-0.57863,0.0204874,0.176569,-0.0703443,-0.578628,0.0206923,0.176583,-0.0703497,-0.000245619,-0.00648111,-0.000201809,8.03996e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.026391,0.5,0.5,0.9,0.225,-0.57863,0.0204873,0.176569,-0.0703441,-0.578628,0.0206923,0.176583,-0.0703497,-0.000255649,-0.0064829,-0.00021005,8.36828e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.027391,0.5,0.5,0.9,0.225,-0.57863,0.0204873,0.176568,-0.0703439,-0.578628,0.0206923,0.176583,-0.0703497,-0.000265262,-0.00648461,-0.000217948,8.68294e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.028391,0.5,0.5,0.9,0.225,-0.578631,0.0204872,0.176568,-0.0703437,-0.578628,0.0206923,0.176583,-0.0703497,-0.00027501,-0.00648634,-0.000225958,9.00205e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.029391,0.5,0.5,0.9,0.225,-0.578631,0.0204871,0.176567,-0.0703435,-0.578628,0.0206923,0.176583,-0.0703497,-0.000284672,-0.00648806,-0.000233896,9.31831e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.030391,0.5,0.5,0.9,0.225,-0.578631,0.0204871,0.176567,-0.0703432,-0.578628,0.0207431,0.176583,-0.0703497,-0.000294343,-0.00881223,-0.000241843,9.63487e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.031391,0.5,0.5,0.9,0.225,-0.578631,0.020487,0.176566,-0.070343,-0.578628,0.0207431,0.176583,-0.0703497,-0.000303849,-0.00881392,-0.000249653,9.94605e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.032391,0.5,0.5,0.9,0.225,-0.578631,0.0204869,0.176566,-0.0703428,-0.578628,0.0207431,0.176583,-0.0703497,-0.000313685,-0.00881567,-0.000257735,0.00010268,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.033391,0.5,0.5,0.9,0.225,-0.578631,0.0204869,0.176565,-0.0703426,-0.578628,0.0207431,0.176583,-0.0703497,-0.000323337,-0.00881739,-0.000265665,0.000105839,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.034391,0.5,0.5,0.9,0.225,-0.578631,0.0204868,0.176565,-0.0703424,-0.578628,0.0207431,0.176583,-0.0703497,-0.000333027,-0.00881911,-0.000273627,0.000109012,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.035392,0.5,0.5,0.9,0.225,-0.578631,0.0204868,0.176564,-0.0703422,-0.578628,0.0207431,0.176583,-0.0703497,-0.000342747,-0.00882084,-0.000281613,0.000112193,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.036392,0.5,0.5,0.9,0.225,-0.578631,0.0204867,0.176564,-0.070342,-0.578628,0.0207431,0.176583,-0.0703497,-0.000352369,-0.00882255,-0.000289519,0.000115343,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.037392,0.5,0.5,0.9,0.225,-0.578631,0.0204866,0.176563,-0.0703418,-0.578628,0.0207431,0.176583,-0.0703497,-0.000362079,-0.00882428,-0.000297497,0.000118521,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.038392,0.5,0.5,0.9,0.225,-0.578631,0.0204866,0.176563,-0.0703416,-0.578628,0.020794,0.176583,-0.0703497,-0.000371741,-0.0100002,-0.000305435,0.000121684,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.039392,0.5,0.5,0.9,0.225,-0.578632,0.0204865,0.176562,-0.0703413,-0.578628,0.020794,0.176583,-0.0703497,-0.000381538,-0.010002,-0.000313485,0.000124891,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.040393,0.5,0.5,0.9,0.225,-0.578632,0.0204864,0.176561,-0.0703411,-0.578628,0.020794,0.176583,-0.0703497,-0.000391141,-0.0100037,-0.000321375,0.000128034,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.041393,0.5,0.5,0.9,0.225,-0.578632,0.0204864,0.176561,-0.0703409,-0.578628,0.020794,0.176583,-0.0703497,-0.000401016,-0.0100054,-0.000329489,0.000131267,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.042393,0.5,0.5,0.9,0.225,-0.578632,0.0204863,0.17656,-0.0703407,-0.578628,0.020794,0.176583,-0.0703497,-0.000410561,-0.0100071,-0.000337331,0.000134391,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.043393,0.5,0.5,0.9,0.225,-0.578632,0.0204863,0.17656,-0.0703405,-0.578628,0.0208448,0.176583,-0.0703497,-0.000420242,-0.0114916,-0.000345286,0.00013756,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.044393,0.5,0.5,0.9,0.225,-0.578632,0.0204862,0.176559,-0.0703403,-0.578628,0.0208448,0.176583,-0.0703497,-0.000429923,-0.0114933,-0.00035324,0.000140729,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.045393,0.5,0.5,0.9,0.225,-0.578632,0.0204861,0.176559,-0.0703401,-0.578628,0.0208448,0.176583,-0.0703497,-0.000439749,-0.0114951,-0.000361313,0.000143945,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.046393,0.5,0.5,0.9,0.225,-0.578632,0.0204861,0.176558,-0.0703399,-0.578628,0.0208448,0.176583,-0.0703497,-0.000449304,-0.0114968,-0.000369164,0.000147073,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.047393,0.5,0.5,0.9,0.225,-0.578632,0.020486,0.176558,-0.0703396,-0.578628,0.0208957,0.176583,-0.0703497,-0.000459159,-0.013341,-0.000377261,0.000150299,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.048393,0.5,0.5,0.9,0.225,-0.578632,0.020486,0.176557,-0.0703394,-0.578628,0.0208957,0.176583,-0.0703497,-0.000468762,-0.0133427,-0.000385152,0.000153442,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.049393,0.5,0.5,0.9,0.225,-0.578633,0.0204859,0.176557,-0.0703392,-0.578628,0.0208957,0.176583,-0.0703497,-0.000478433,-0.0133444,-0.000393098,0.000156608,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.050393,0.5,0.5,0.9,0.225,-0.578633,0.0204857,0.176555,-0.0703386,-0.578628,0.0208957,0.176583,-0.0703497,-0.000506385,-0.0133494,-0.000416064,0.000165758,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.051393,0.5,0.5,0.9,0.225,-0.578633,0.0204853,0.176552,-0.0703372,-0.578628,0.0208957,0.176583,-0.0703497,-0.00057103,-0.0133609,-0.000469179,0.000186918,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.052393,0.5,0.5,0.9,0.225,-0.578634,0.0204849,0.176548,-0.0703358,-0.578628,0.0208957,0.176583,-0.0703497,-0.000635805,-0.0133724,-0.0005224,0.000208121,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
