time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.65649,0.5,0.5,0,0,-1.21171,-0.0767649,0.0441999,-0.299952,-1.1977,-0.0728552,0.0541256,-0.26838,-1.39511,-0.109471,-0.148885,-0.473589,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.65749,0.5,0.5,0,0,-1.21165,-0.0767649,0.0441319,-0.299913,-1.1977,-0.0728552,0.0541256,-0.26838,-1.38862,-0.109471,-0.149905,-0.473006,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.65849,0.5,0.5,0,0,-1.21158,-0.0767649,0.044064,-0.299875,-1.1977,-0.0728552,0.0541256,-0.26838,-1.38214,-0.109471,-0.150924,-0.472424,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.65949,0.5,0.5,0,0,-1.21152,-0.0767649,0.0439957,-0.299836,-1.1977,-0.0728552,0.0541256,-0.26838,-1.37563,-0.109471,-0.151949,-0.471838,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66049,0.5,0.5,0,0,-1.21145,-0.0767649,0.0439279,-0.299797,-1.1977,-0.0728552,0.0541256,-0.26838,-1.36916,-0.109471,-0.152966,-0.471257,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66149,0.5,0.5,0,0,-1.21139,-0.0767649,0.0438597,-0.299758,-1.1977,-0.0728552,0.0541256,-0.26838,-1.36266,-0.109471,-0.153988,-0.470673,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66249,0.5,0.5,0,0,-1.21132,-0.0767649,0.0437905,-0.299718,-1.1977,-0.0728552,0.0541256,-0.26838,-1.35606,-0.109471,-0.155026,-0.470079,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66349,0.5,0.5,0,0,-1.21126,-0.0767649,0.0437234,-0.29968,-1.1977,-0.0728552,0.0541256,-0.26838,-1.34966,-0.109471,-0.156032,-0.469504,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66449,0.5,0.5,0,0,-1.2112,-0.0767649,0.0436556,-0.299641,-1.1977,-0.0728552,0.0541256,-0.26838,-1.3432,-0.109471,-0.157049,-0.468923,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66549,0.5,0.5,0,0,-1.21113,-0.0767649,0.0435877,-0.299602,-1.1977,-0.0728552,0.0541256,-0.26838,-1.33672,-0.109471,-0.158069,-0.468341,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66649,0.5,0.5,0,0,-1.21107,-0.0767649,0.0435197,-0.299564,-1.1977,-0.0728552,0.0541256,-0.26838,-1.33024,-0.109471,-0.159088,-0.467758,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.66749,0.5,0.5,0,0,-1.211,-0.0767649,0.0434517,-0.299525,-1.1977,-0.0728552,0.0541256,-0.26838,-1.32375,-0.109471,-0.160108,-0.467175,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
