time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.44774,0.5,0.5,0,0,-1.21171,-0.0767649,0.0441997,-0.299952,-1.1909,-0.0716859,0.0502225,-0.260161,-2.07566,-0.142213,-0.0903416,-0.596863,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.44874,0.5,0.5,0,0,-1.21165,-0.0767649,0.044132,-0.299914,-1.1909,-0.0716859,0.0502225,-0.260161,-2.06921,-0.142213,-0.0913567,-0.596283,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.44974,0.5,0.5,0,0,-1.21158,-0.0767649,0.0440629,-0.299874,-1.1909,-0.0716859,0.0502225,-0.260161,-2.06261,-0.142213,-0.0923942,-0.59569,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45074,0.5,0.5,0,0,-1.21152,-0.0767649,0.0439953,-0.299835,-1.1909,-0.0716859,0.0502225,-0.260161,-2.05617,-0.142213,-0.0934072,-0.595111,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45174,0.5,0.5,0,0,-1.21146,-0.0767649,0.043928,-0.299797,-1.1909,-0.0716859,0.0502225,-0.260161,-2.04975,-0.142213,-0.0944171,-0.594534,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45274,0.5,0.5,0,0,-1.21139,-0.0767649,0.0438591,-0.299758,-1.1909,-0.0716859,0.0502225,-0.260161,-2.04318,-0.142213,-0.0954506,-0.593943,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45374,0.5,0.5,0,0,-1.21132,-0.0767649,0.0437916,-0.299719,-1.1909,-0.0716859,0.0502225,-0.260161,-2.03674,-0.142213,-0.0964626,-0.593365,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45474,0.5,0.5,0,0,-1.21126,-0.0767649,0.0437235,-0.29968,-1.1909,-0.0717367,0.0502225,-0.260161,-2.03024,-0.140789,-0.0974848,-0.59278,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45574,0.5,0.5,0,0,-1.21119,-0.0767649,0.0436551,-0.299641,-1.1909,-0.0717367,0.0502225,-0.260161,-2.02372,-0.140789,-0.09851,-0.592194,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45674,0.5,0.5,0,0,-1.21113,-0.0767649,0.0435856,-0.299601,-1.1909,-0.0717367,0.0502225,-0.260161,-2.01709,-0.140789,-0.0995536,-0.591598,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45774,0.5,0.5,0,0,-1.21106,-0.0767649,0.0435181,-0.299563,-1.1909,-0.0717367,0.0502225,-0.260161,-2.01065,-0.140789,-0.100566,-0.59102,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45874,0.5,0.5,0,0,-1.211,-0.0767649,0.0434519,-0.299525,-1.1909,-0.0717367,0.0502225,-0.260161,-2.00434,-0.140789,-0.101559,-0.590452,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.45974,0.5,0.5,0,0,-1.21094,-0.0767649,0.0433838,-0.299486,-1.1909,-0.0717367,0.0502225,-0.260161,-1.99784,-0.140789,-0.10258,-0.589868,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46075,0.5,0.5,0,0,-1.21087,-0.0767649,0.0433157,-0.299447,-1.1909,-0.0717367,0.0502225,-0.260161,-1.99135,-0.140789,-0.103602,-0.589285,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46174,0.5,0.5,0,0,-1.2108,-0.0767649,0.0432459,-0.299407,-1.1909,-0.0717367,0.0501593,-0.260196,-1.98469,-0.140789,-0.1037,-0.588173,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46274,0.5,0.5,0,0,-1.21074,-0.0767649,0.0431797,-0.299369,-1.1909,-0.0717367,0.0501593,-0.260196,-1.97838,-0.140789,-0.104694,-0.587605,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46375,0.5,0.5,0,0,-1.21068,-0.0767649,0.0431109,-0.29933,-1.1909,-0.0717367,0.0501593,-0.260196,-1.97181,-0.140789,-0.105726,-0.587015,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46475,0.5,0.5,0,0,-1.21061,-0.0767649,0.0430435,-0.299291,-1.1909,-0.0717367,0.0501593,-0.260196,-1.96538,-0.140789,-0.106737,-0.586437,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46575,0.5,0.5,0,0,-1.21051,-0.0767649,0.0429385,-0.299231,-1.1909,-0.0717367,0.0501593,-0.260196,-1.95537,-0.140789,-0.108311,-0.585538,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46675,0.5,0.5,0,0,-1.21048,-0.0767649,0.0429072,-0.299214,-1.1909,-0.0717367,0.0501593,-0.260196,-1.95238,-0.140789,-0.108781,-0.585269,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46775,0.5,0.5,0,0,-1.21042,-0.0767649,0.0428395,-0.299175,-1.1909,-0.0717367,0.0501593,-0.260196,-1.94593,-0.140789,-0.109796,-0.584689,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46875,0.5,0.5,0,0,-1.21035,-0.0767649,0.0427708,-0.299136,-1.1909,-0.0717367,0.050096,-0.26023,-1.93938,-0.140789,-0.109845,-0.583569,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.46975,0.5,0.5,0,0,-1.21027,-0.0767649,0.0426886,-0.299089,-1.1909,-0.0717367,0.050096,-0.26023,-1.93154,-0.140789,-0.111078,-0.582864,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.47075,0.5,0.5,0,0,-1.21022,-0.0767649,0.0426347,-0.299058,-1.1909,-0.0717367,0.050096,-0.26023,-1.9264,-0.140789,-0.111886,-0.582402,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.47175,0.5,0.5,0,0,-1.21016,-0.0767649,0.0425649,-0.299018,-1.1909,-0.0717367,0.050096,-0.26023,-1.91974,-0.140789,-0.112933,-0.581804,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.47275,0.5,0.5,0,0,-1.21009,-0.0767649,0.0424984,-0.29898,-1.1909,-0.0717367,0.0500328,-0.260264,-1.91339,-0.140789,-0.112967,-0.580711,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.47375,0.5,0.5,0,0,-1.21003,-0.0767649,0.0424307,-0.298941,-1.1909,-0.0717367,0.0500328,-0.260264,-1.90694,-0.140789,-0.113982,-0.580131,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
5.47475,0.5,0.5,0,0,-1.20996,-0.0767649,0.0423631,-0.298903,-1.1909,-0.0717367,0.0500328,-0.260264,-1.90049,-0.140789,-0.114997,-0.579552,0,0,0,0,0,0,0,0,0,0,0,0,60,65,45,45,45,45,0,45
