time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.04701,0.5,0.5,0,0,-1.22101,-0.0767649,0.0441463,-0.299922,-1.19577,-0.0669068,0.0500333,-0.262813,-2.52458,-0.276026,-0.0882698,-0.556614,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.04864,0.5,0.5,0,0,-1.22098,-0.0767649,0.0440885,-0.299889,-1.19577,-0.0669068,0.0500333,-0.262813,-2.52074,-0.276026,-0.0891376,-0.556119,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.04964,0.5,0.5,0,0,-1.22093,-0.0767649,0.0440208,-0.29985,-1.19577,-0.0669068,0.0500333,-0.262813,-2.51623,-0.276026,-0.0901531,-0.555539,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05064,0.5,0.5,0,0,-1.22089,-0.0767649,0.0439528,-0.299811,-1.19577,-0.0669068,0.0500333,-0.262813,-2.5117,-0.276026,-0.0911747,-0.554956,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05164,0.5,0.5,0,0,-1.22084,-0.0767649,0.0438843,-0.299772,-1.19577,-0.0669068,0.0500333,-0.262813,-2.50715,-0.276026,-0.0922014,-0.55437,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05264,0.5,0.5,0,0,-1.22079,-0.0767649,0.0438163,-0.299733,-1.19577,-0.0669068,0.0500333,-0.262813,-2.50262,-0.276026,-0.0932231,-0.553786,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05364,0.5,0.5,0,0,-1.22075,-0.0767649,0.0437486,-0.299694,-1.19577,-0.0669068,0.0499703,-0.262847,-2.49812,-0.276026,-0.0933261,-0.552712,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05464,0.5,0.5,0,0,-1.2207,-0.0767649,0.0436805,-0.299655,-1.19577,-0.0669068,0.0499703,-0.262847,-2.49359,-0.276026,-0.0943473,-0.552128,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05564,0.5,0.5,0,0,-1.22066,-0.0767649,0.0436126,-0.299617,-1.19577,-0.0669068,0.0499703,-0.262847,-2.48907,-0.276026,-0.0953664,-0.551546,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05664,0.5,0.5,0,0,-1.22061,-0.0767649,0.0435445,-0.299578,-1.19577,-0.0669068,0.0499703,-0.262847,-2.48454,-0.276026,-0.0963876,-0.550962,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05764,0.5,0.5,0,0,-1.22057,-0.0767649,0.0434764,-0.299539,-1.19577,-0.0669068,0.0499703,-0.262847,-2.48001,-0.276026,-0.0974088,-0.550378,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05864,0.5,0.5,0,0,-1.22052,-0.0767649,0.0434084,-0.2995,-1.19577,-0.0669068,0.0499703,-0.262847,-2.47549,-0.276026,-0.0984289,-0.549795,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.05964,0.5,0.5,0,0,-1.22048,-0.0767649,0.0433371,-0.299459,-1.19577,-0.0669068,0.0499703,-0.262847,-2.47074,-0.276026,-0.0994991,-0.549184,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.06064,0.5,0.5,0,0,-1.22043,-0.0767649,0.0432723,-0.299422,-1.19577,-0.0669068,0.0499703,-0.262847,-2.46643,-0.276026,-0.10047,-0.548629,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
