time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.5,0.5,0.5,0.125,-0.789016,0.0124051,0.0323922,-0.0650594,-0.789018,0.0124052,0.0323926,-0.0650602,0.000222518,-4.33845e-06,-6.0689e-06,1.21893e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.004409,0.5,0.5,0.5,0.125,-0.789016,0.0124051,0.0323922,-0.0650594,-0.789018,0.0124052,0.0323926,-0.0650602,0.000229487,-4.47432e-06,-6.25897e-06,1.25711e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.005409,0.5,0.5,0.5,0.125,-0.789016,0.012405,0.0323921,-0.0650592,-0.789018,0.0124052,0.0323926,-0.0650602,0.000283469,-5.5268e-06,-7.73124e-06,1.55281e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.006409,0.5,0.5,0.5,0.125,-0.789015,0.012405,0.032392,-0.065059,-0.789018,0.0124052,0.0323926,-0.0650602,0.000336217,-6.55523e-06,-9.16988e-06,1.84176e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.007409,0.5,0.5,0.5,0.125,-0.789014,0.0124049,0.0323919,-0.0650588,-0.789018,0.0124052,0.0323926,-0.0650602,0.000390252,-7.60875e-06,-1.06436e-05,2.13776e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.008409,0.5,0.5,0.5,0.125,-0.789014,0.0124049,0.0323918,-0.0650586,-0.789018,0.0123544,0.0323926,-0.0650602,0.000443536,0.0014149,-1.20969e-05,2.42964e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.009409,0.5,0.5,0.5,0.125,-0.789013,0.0124049,0.0323917,-0.0650584,-0.789018,0.0123544,0.0323926,-0.0650602,0.000496928,0.00141386,-1.35531e-05,2.72211e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.010409,0.5,0.5,0.5,0.125,-0.789013,0.0124048,0.0323916,-0.0650582,-0.789018,0.0123544,0.0323926,-0.0650602,0.000550266,0.00141282,-1.50078e-05,3.01429e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.011409,0.5,0.5,0.5,0.125,-0.789012,0.0124048,0.0323915,-0.065058,-0.789018,0.0123544,0.0323926,-0.0650602,0.000603979,0.00141177,-1.64727e-05,3.30853e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
0.012409,0.5,0.5,0.5,0.125,-0.789012,0.0124048,0.0323914,-0.0650578,-0.789018,0.0123544,0.0323926,-0.0650602,0.000657585,0.00141073,-1.79348e-05,3.60218e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
