time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.30903,0.5,0.5,0,0,-1.22109,-0.0767649,0.0442553,-0.299984,-1.19906,-0.0657375,0.0542734,-0.250975,-2.20254,-0.308768,-0.150271,-0.73513,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31003,0.5,0.5,0,0,-1.22104,-0.0767649,0.0441875,-0.299945,-1.19906,-0.0657375,0.0542734,-0.250975,-2.19803,-0.308768,-0.151289,-0.734548,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31104,0.5,0.5,0,0,-1.221,-0.0767649,0.0441195,-0.299906,-1.19906,-0.0657375,0.0542734,-0.250975,-2.1935,-0.308768,-0.152309,-0.733965,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31203,0.5,0.5,0,0,-1.22095,-0.0767649,0.0440514,-0.299867,-1.19906,-0.0657375,0.0542734,-0.250975,-2.18898,-0.308768,-0.153329,-0.733382,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31304,0.5,0.5,0,0,-1.22091,-0.0767649,0.0439834,-0.299829,-1.19906,-0.0657375,0.0542734,-0.250975,-2.18445,-0.308768,-0.154349,-0.732799,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31404,0.5,0.5,0,0,-1.22086,-0.0767649,0.0439153,-0.29979,-1.19906,-0.0657375,0.0542734,-0.250975,-2.17992,-0.308768,-0.155371,-0.732215,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31504,0.5,0.5,0,0,-1.22082,-0.0767649,0.0438473,-0.299751,-1.19906,-0.0657375,0.0542734,-0.250975,-2.1754,-0.308768,-0.15639,-0.731632,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31604,0.5,0.5,0,0,-1.22077,-0.0767649,0.0437793,-0.299712,-1.19906,-0.0657375,0.0542734,-0.250975,-2.17087,-0.308768,-0.157412,-0.731048,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31704,0.5,0.5,0,0,-1.22073,-0.0767649,0.0437113,-0.299673,-1.19906,-0.0657375,0.0542734,-0.250975,-2.16634,-0.308768,-0.158432,-0.730465,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31804,0.5,0.5,0,0,-1.22068,-0.0767649,0.0436433,-0.299634,-1.19906,-0.0657375,0.0542734,-0.250975,-2.16182,-0.308768,-0.159451,-0.729883,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.31904,0.5,0.5,0,0,-1.22063,-0.0767649,0.0435752,-0.299595,-1.19906,-0.0657375,0.0542734,-0.250975,-2.15729,-0.308768,-0.160472,-0.729299,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.32004,0.5,0.5,0,0,-1.22059,-0.0767649,0.0435073,-0.299556,-1.19906,-0.0657375,0.0542734,-0.250975,-2.15277,-0.308768,-0.161491,-0.728717,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
5.32104,0.5,0.5,0,0,-1.22054,-0.0767649,0.0434392,-0.299518,-1.19906,-0.0657375,0.0542115,-0.251009,-2.14824,-0.308768,-0.161584,-0.727625,0,0,0,0,0,0,0,0,0,0,0,0,65,65,45,45,45,45,0,45
