time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.1551,0.5,0.5,0,0,-1.18499,-0.13212,0.0201061,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.47972,-0.203137,0.292086,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1561,0.5,0.5,0,0,-1.18495,-0.132146,0.0201207,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.47611,-0.203866,0.292306,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1571,0.5,0.5,0,0,-1.18492,-0.132172,0.0201352,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.47253,-0.204589,0.292524,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1581,0.5,0.5,0,0,-1.18488,-0.132198,0.0201498,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.46893,-0.205314,0.292743,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1591,0.5,0.5,0,0,-1.18484,-0.132225,0.0201648,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.46524,-0.206061,0.292968,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1601,0.5,0.5,0,0,-1.18481,-0.13225,0.0201791,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.46173,-0.206769,0.293181,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1611,0.5,0.5,0,0,-1.18477,-0.132276,0.0201936,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.45813,-0.207494,0.2934,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1621,0.5,0.5,0,0,-1.18474,-0.132302,0.0202082,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.45455,-0.208218,0.293618,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1631,0.5,0.5,0,0,-1.1847,-0.132328,0.0202231,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.45087,-0.208962,0.293842,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1641,0.5,0.5,0,0,-1.18466,-0.132355,0.020238,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.4472,-0.209701,0.294065,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1651,0.5,0.5,0,0,-1.18463,-0.132381,0.0202528,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.44354,-0.210441,0.294288,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.1661,0.5,0.5,0,0,-1.18459,-0.132406,0.0202668,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.44009,-0.211138,0.294498,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.16719,0.5,0.5,0,0,-1.18455,-0.132435,0.020283,0.158443,-1.16019,-0.124866,0.000634027,0.118351,-2.4361,-0.211943,0.294741,0.601318,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.16819,0.5,0.5,0,0,-1.18452,-0.13246,0.0202972,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.4326,-0.212649,0.29505,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.16919,0.5,0.5,0,0,-1.18448,-0.132486,0.0203118,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.42902,-0.213372,0.295268,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17019,0.5,0.5,0,0,-1.18444,-0.132513,0.0203267,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.42534,-0.214116,0.295492,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17119,0.5,0.5,0,0,-1.18441,-0.132538,0.0203409,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.42183,-0.214824,0.295706,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17219,0.5,0.5,0,0,-1.18437,-0.132564,0.0203558,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.41817,-0.215563,0.295929,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17319,0.5,0.5,0,0,-1.18434,-0.13259,0.0203701,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.41464,-0.216274,0.296143,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17419,0.5,0.5,0,0,-1.1843,-0.132616,0.0203847,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.41105,-0.217,0.296361,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17519,0.5,0.5,0,0,-1.18427,-0.132641,0.0203992,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.40746,-0.217724,0.29658,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17619,0.5,0.5,0,0,-1.18423,-0.132668,0.020414,0.158443,-1.16019,-0.124866,0.000627678,0.118419,-2.40383,-0.218458,0.296801,0.600284,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17719,0.5,0.5,0,0,-1.18419,-0.132693,0.0204284,0.158443,-1.16019,-0.124866,0.000621329,0.118488,-2.40026,-0.219178,0.297115,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17819,0.5,0.5,0,0,-1.18416,-0.132719,0.020443,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.39667,-0.21848,0.297334,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.17919,0.5,0.5,0,0,-1.18412,-0.132745,0.0204576,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.39307,-0.219205,0.297552,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18019,0.5,0.5,0,0,-1.18409,-0.132771,0.0204722,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.38947,-0.219932,0.297771,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18119,0.5,0.5,0,0,-1.18405,-0.132798,0.0204871,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.38581,-0.220673,0.297995,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18219,0.5,0.5,0,0,-1.18401,-0.132823,0.0205016,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.38224,-0.221394,0.298212,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18319,0.5,0.5,0,0,-1.18398,-0.132849,0.0205163,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.37862,-0.222124,0.298432,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18419,0.5,0.5,0,0,-1.18394,-0.132875,0.0205307,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.37506,-0.222843,0.298649,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18519,0.5,0.5,0,0,-1.1839,-0.132903,0.0205464,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.37119,-0.223623,0.298884,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18619,0.5,0.5,0,0,-1.18387,-0.132928,0.0205603,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.36777,-0.224314,0.299092,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18719,0.5,0.5,0,0,-1.18383,-0.132953,0.0205748,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.36418,-0.225038,0.299311,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18819,0.5,0.5,0,0,-1.1838,-0.13298,0.0205895,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.36058,-0.225766,0.29953,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.18919,0.5,0.5,0,0,-1.18376,-0.133005,0.0206039,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.35701,-0.226486,0.299747,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19019,0.5,0.5,0,0,-1.18372,-0.133031,0.0206185,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.35342,-0.227211,0.299966,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19119,0.5,0.5,0,0,-1.18369,-0.133058,0.0206337,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.34968,-0.227966,0.300193,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19222,0.5,0.5,0,0,-1.18365,-0.133084,0.0206483,0.158443,-1.16019,-0.124916,0.000621329,0.118488,-2.34607,-0.228696,0.300413,0.599242,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19322,0.5,0.5,0,0,-1.18362,-0.133109,0.0206624,0.158443,-1.16019,-0.124916,0.000614979,0.118556,-2.34259,-0.229398,0.300721,0.59821,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19422,0.5,0.5,0,0,-1.18358,-0.133136,0.0206774,0.158443,-1.16019,-0.124916,0.000614979,0.118556,-2.33891,-0.23014,0.300944,0.59821,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19522,0.5,0.5,0,0,-1.18354,-0.133162,0.020692,0.158443,-1.16019,-0.124967,0.000614979,0.118556,-2.3353,-0.229445,0.301164,0.59821,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.19622,0.5,0.5,0,0,-1.18351,-0.133187,0.0207061,0.158443,-1.16019,-0.124967,0.000614979,0.118556,-2.33182,-0.230148,0.301376,0.59821,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
