time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.09166,0.5,0.5,0,0,-1.22105,-0.0767649,0.0494024,-0.299953,-1.20329,-0.0687879,0.0585079,-0.260691,-1.77657,-0.223355,-0.136582,-0.588931,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09266,0.5,0.5,0,0,-1.22101,-0.0767649,0.0493443,-0.299915,-1.20329,-0.0687879,0.0585079,-0.260691,-1.77214,-0.223355,-0.137454,-0.588361,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09366,0.5,0.5,0,0,-1.22096,-0.0767649,0.0492861,-0.299877,-1.20329,-0.0687879,0.0585079,-0.260691,-1.76771,-0.223355,-0.138327,-0.587789,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09466,0.5,0.5,0,0,-1.22092,-0.0767649,0.0492261,-0.299838,-1.20329,-0.0687879,0.0585079,-0.260691,-1.76313,-0.223355,-0.139227,-0.587199,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09566,0.5,0.5,0,0,-1.22087,-0.0767649,0.0491671,-0.299799,-1.20329,-0.0687879,0.0585079,-0.260691,-1.75863,-0.223355,-0.140112,-0.58662,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09666,0.5,0.5,0,0,-1.22083,-0.0767649,0.0491063,-0.299759,-1.20329,-0.0687879,0.0585079,-0.260691,-1.754,-0.223355,-0.141023,-0.586023,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09766,0.5,0.5,0,0,-1.22078,-0.0767649,0.0490479,-0.299721,-1.20329,-0.0687879,0.0585079,-0.260691,-1.74955,-0.223355,-0.141899,-0.585449,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09866,0.5,0.5,0,0,-1.22074,-0.0767649,0.0489892,-0.299682,-1.20329,-0.0687879,0.0585079,-0.260691,-1.74507,-0.223355,-0.142781,-0.584872,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.09966,0.5,0.5,0,0,-1.22069,-0.0767649,0.0489298,-0.299643,-1.20329,-0.0687879,0.0585079,-0.260691,-1.74054,-0.223355,-0.143672,-0.584289,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10066,0.5,0.5,0,0,-1.22065,-0.0767649,0.0488705,-0.299605,-1.20329,-0.0687879,0.0584452,-0.260725,-1.73603,-0.223355,-0.14362,-0.583199,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10166,0.5,0.5,0,0,-1.2206,-0.0767649,0.0488104,-0.299565,-1.20329,-0.0687879,0.0584452,-0.260725,-1.73144,-0.223355,-0.144522,-0.582609,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10266,0.5,0.5,0,0,-1.22055,-0.0767649,0.0487491,-0.299525,-1.20329,-0.0687879,0.0584452,-0.260725,-1.72677,-0.223355,-0.145442,-0.582006,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10366,0.5,0.5,0,0,-1.22051,-0.0767649,0.0486922,-0.299488,-1.20329,-0.0687879,0.0584452,-0.260725,-1.72243,-0.223355,-0.146295,-0.581448,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10466,0.5,0.5,0,0,-1.22046,-0.0767649,0.0486331,-0.299449,-1.20329,-0.0687879,0.0584452,-0.260725,-1.71793,-0.223355,-0.147181,-0.580867,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10566,0.5,0.5,0,0,-1.22042,-0.0767649,0.0485735,-0.29941,-1.20329,-0.0687879,0.0584452,-0.260725,-1.71338,-0.223355,-0.148075,-0.580282,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10666,0.5,0.5,0,0,-1.22037,-0.0767649,0.0485133,-0.299371,-1.20329,-0.0687879,0.0584452,-0.260725,-1.70879,-0.223355,-0.148979,-0.57969,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10766,0.5,0.5,0,0,-1.22033,-0.0767649,0.0484543,-0.299332,-1.20329,-0.0687879,0.0584452,-0.260725,-1.70429,-0.223355,-0.149864,-0.579111,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10866,0.5,0.5,0,0,-1.22028,-0.0767649,0.0483958,-0.299294,-1.20329,-0.0687879,0.0584452,-0.260725,-1.69983,-0.223355,-0.150742,-0.578536,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.10966,0.5,0.5,0,0,-1.22024,-0.0767649,0.0483342,-0.299253,-1.20329,-0.0687879,0.0584452,-0.260725,-1.69514,-0.223355,-0.151665,-0.577931,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.11066,0.5,0.5,0,0,-1.22019,-0.0767649,0.0482762,-0.299215,-1.20329,-0.0687879,0.0584452,-0.260725,-1.69071,-0.223355,-0.152536,-0.577361,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.11166,0.5,0.5,0,0,-1.22015,-0.0767649,0.0482155,-0.299176,-1.20329,-0.0687879,0.0584452,-0.260725,-1.68609,-0.223355,-0.153446,-0.576765,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.11266,0.5,0.5,0,0,-1.2201,-0.0767649,0.0481569,-0.299137,-1.20329,-0.0687879,0.0583825,-0.260759,-1.68162,-0.223355,-0.153384,-0.575682,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
