time [s],fes_share [],exo_share [],kp_val [],kd_val [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
5.02873,0.5,0.5,0.5,0.125,-1.18497,-0.132136,0.0265031,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.38455,-0.404282,0.0795821,0.734055,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0,0,40,40,30,40
5.02973,0.5,0.5,0.5,0.125,-1.18491,-0.132179,0.026522,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.37858,-0.405489,0.0798661,0.734055,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03073,0.5,0.5,0.5,0.125,-1.18485,-0.132223,0.0265413,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.37249,-0.406718,0.0801556,0.734055,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03173,0.5,0.5,0.5,0.125,-1.18479,-0.132265,0.02656,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.36658,-0.407911,0.0804364,0.734055,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03273,0.5,0.5,0.5,0.125,-1.18473,-0.132308,0.026579,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.36059,-0.409119,0.0807207,0.734055,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03373,0.5,0.5,0.5,0.125,-1.18467,-0.132352,0.0265982,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.35454,-0.410341,0.0810084,0.734055,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03473,0.5,0.5,0.5,0.125,-1.18461,-0.132395,0.026617,0.102045,-1.16112,-0.117697,0.0211976,0.0531084,-2.34859,-0.411542,0.0812913,0.734055,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03573,0.5,0.5,0.5,0.125,-1.18455,-0.132438,0.0266359,0.102045,-1.16112,-0.117697,0.0211912,0.0531733,-2.34263,-0.412746,0.0816711,0.733082,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03673,0.5,0.5,0.5,0.125,-1.18449,-0.132482,0.0266552,0.102045,-1.16112,-0.117697,0.0211912,0.0531733,-2.33654,-0.413975,0.0819602,0.733082,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
5.03773,0.5,0.5,0.5,0.125,-1.18443,-0.132525,0.026674,0.102045,-1.16112,-0.117697,0.0211912,0.0531733,-2.3306,-0.415175,0.0822428,0.733082,-0.329833,0.0200616,0.0259446,0.0873262,0,0,0,0,0,21,0,18,55,60,0,0,40,40,30,40
