time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.5,0.5,-0.785395,0,-1.64787e-16,2.34743e-16,-0.785398,0,-1.6479e-16,2.34748e-16,0.000358006,0,5.07032e-20,-7.22281e-20,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.00708,0.5,0.5,-0.785394,0,-1.64786e-16,2.34743e-16,-0.785398,0,-1.6479e-16,2.34748e-16,0.00037707,0,5.34031e-20,-7.60742e-20,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.00808,0.5,0.5,-0.785394,0,-1.64786e-16,2.34742e-16,-0.785398,0,-1.6479e-16,2.34748e-16,0.000426593,0,6.04169e-20,-8.60656e-20,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.00908,0.5,0.5,-0.785393,0,-1.64785e-16,2.34741e-16,-0.785393,9.82254e-09,-1.59169e-07,-1.91119e-05,-0.0135203,-4.20405e-06,5.57159e-06,0.000668909,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.01008,0.5,0.5,-0.785393,0,-1.64785e-16,2.34741e-16,-0.785377,3.83558e-08,-6.19561e-07,-7.54383e-05,-0.0282579,-8.55824e-06,1.53191e-05,0.00187585,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.01108,0.5,0.5,-0.785392,0,-1.64784e-16,2.3474e-16,-0.78535,8.27485e-08,-1.32574e-06,-0.000165948,-0.0434307,-1.25898e-05,2.79865e-05,0.00355509,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.01208,0.5,0.5,-0.785392,0,-1.64784e-16,2.34739e-16,-0.785314,1.39412e-07,-2.2087e-06,-0.000286702,-0.0588945,-1.62961e-05,4.26925e-05,0.0056497,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.01308,0.5,0.5,-0.785391,0,-1.64783e-16,2.34739e-16,-0.785269,2.05521e-07,-3.22713e-06,-0.00043437,-0.0747018,-1.98055e-05,5.9217e-05,0.00811973,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.014089,0.5,0.5,-0.785391,0,-1.64783e-16,2.34738e-16,-0.785215,2.78965e-07,-4.36463e-06,-0.000606156,-0.0908846,-2.31378e-05,7.74132e-05,0.0109239,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.015089,0.5,0.5,-0.78539,0,-1.64782e-16,2.34737e-16,-0.785152,3.5787e-07,-5.60527e-06,-0.000798913,-0.107353,-2.62557e-05,9.69514e-05,0.0140073,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.016089,0.5,0.5,-0.78539,0,-1.64782e-16,2.34737e-16,-0.785081,4.40524e-07,-6.92677e-06,-0.00100908,-0.12408,-2.91609e-05,0.000117462,0.017316,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.017089,0.5,0.5,-0.785389,0,-1.64781e-16,2.34736e-16,-0.785003,5.25361e-07,-8.29822e-06,-0.0012325,-0.140952,-3.18189e-05,0.000138344,0.020776,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.018089,0.5,0.5,-0.785389,0,-1.64781e-16,2.34735e-16,-0.784918,6.10948e-07,-9.68129e-06,-0.00146445,-0.157946,-3.42326e-05,0.000159012,0.0243173,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.019089,0.5,0.5,-0.785388,0,-1.6478e-16,2.34734e-16,-0.784826,6.96147e-07,-1.10435e-05,-0.00170092,-0.175124,-3.64454e-05,0.000179105,0.0278925,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.020089,0.5,0.5,-0.785388,0,-1.6478e-16,2.34734e-16,-0.784728,7.80162e-07,-1.23656e-05,-0.00193927,-0.192565,-3.84975e-05,0.000198475,0.0314772,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.021089,0.5,0.5,-0.785387,0,-1.64779e-16,2.34733e-16,-0.784623,8.62413e-07,-1.36361e-05,-0.0021777,-0.210261,-4.03951e-05,0.00021696,0.0350459,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
