fes_share,elbow_rms_torque,forearm_rms_torque,wrist_fe_rms_torque,wrist_ru_rms_torque,elbow_max_torque,forearm_max_torque,wrist_fe_max_torque,wrist_ru_max_torque,elbow_rms_error,forearm_rms_error,wrist_fe_rms_error,wrist_ru_rms_error
0,0.876570281248713,0.169693374601365,0.181366329793952,0.440615639437864,2.56959,0.255684,0.176924,0.943883,0.00970339232973675,0.0065789655067523,0.0121033403256429,0.0293818769103221
0,0.796233736904536,0.172176370752339,0.174614716807438,0.433989245457522,2.48203,0.254815,0.20754,0.912638,0.00897954422890117,0.00668627727912644,0.0116530877762687,0.02893981851706
0,0.779569890530935,0.171023695588545,0.172478420600591,0.374464029971168,2.68413,0.290714,0.236414,0.849656,0.00888577649745819,0.00668241311353652,0.0115153985038196,0.0249731732560919
0,0.824386591896411,0.18601555632555,0.190819483860552,0.398661684121341,2.5755,0.274746,0.217052,0.803706,0.00942485949713029,0.00714296039942096,0.0127364865144957,0.0265851991495469
0.1,0.743730442185306,0.132609558721917,0.106946458025557,0.151538409052812,1.3721,0.273884,0.030912,0.388307,0.00852250143742958,0.00528289400368684,0.00714484300050314,0.0101180539254155
0.1,0.788574541858973,0.174125083593329,0.140861457118477,0.191133421711749,1.53817,0.249607,0.0371701,0.463856,0.0090936394143786,0.00668979390296023,0.00941052691744581,0.0127603726771787
0.1,0.887492800286794,0.144151615437127,0.127019004218388,0.196166387786774,1.83795,0.290565,0.0907177,0.39244,0.00990636229695585,0.00580648449952839,0.00848425914645177,0.0130927137681209
0.1,0.740737460676946,0.149304498105064,0.139468965499307,0.254462702202228,1.52594,0.245164,0.174301,0.649019,0.00847003340377181,0.00586663372045448,0.00931505435022647,0.016978984949895
0.2,0.621168489155963,0.163212164301847,0.119130380183291,0.180438775307839,1.39528,0.266157,0.046273,0.38508,0.00736540232918154,0.00636281561416165,0.00795311982015923,0.012045025123067
0.2,0.748220094737847,0.157435846924329,0.144393466670709,0.243808825285023,1.40253,0.243823,0.0678329,0.549037,0.0085136003482012,0.00608171352449407,0.00963846368390531,0.0162660091940973
0.2,0.784710214561696,0.15552845311149,0.140294029441351,0.205326381471195,1.56739,0.238869,0.10307,0.432104,0.00882739033007775,0.00602284131904684,0.00936488232653928,0.0137049703990306
0.2,0.753973884950013,0.154859199646143,0.13366926201668,0.229119817301229,1.42577,0.24671,0.0606135,0.562587,0.00868428646355396,0.00602711079671585,0.00892943498169036,0.0152908067448907
0.3,0.723582932320305,0.146465976600761,0.116392540296573,0.216181260967655,1.59328,0.195228,0.0671394,0.513382,0.00846895729411022,0.00567645026127737,0.00777398848044306,0.0144284250229595
0.3,0.536917435320112,0.158402389059279,0.157327538032225,0.329743690644787,1.55281,0.235976,0.0492661,0.835973,0.00675782509521953,0.00614991167204763,0.0105019898260922,0.021995449149434
0.3,0.632202396215523,0.157701179526159,0.141488646879314,0.275933422461668,1.5258,0.19955,0.148,0.465451,0.00753981095773218,0.00608395817527624,0.00944796821216007,0.0184039877433352
0.3,0.730817842557008,0.13537944248321,0.11116377345974,0.2198727388799,1.13116,0.231053,0.105489,0.468753,0.0084065198627483,0.00536606504593891,0.00742720803786904,0.0146713055446992
0.4,0.680123902885202,0.142557365917586,0.14531425710668,0.283219311052154,1.93272,0.214823,0.0857218,0.563462,0.00793625422593907,0.0055626916608723,0.00969951278947857,0.0188904866001445
0.4,0.763458795492408,0.147281573655884,0.12245776318563,0.190287723438122,1.45397,0.253655,0.117159,0.462357,0.00872529693088924,0.00578442951928729,0.008182988218249,0.0127039317468483
0.4,0.643097181996089,0.13591504886318,0.103513240701005,0.20850209202531,1.51821,0.242489,0.106998,0.458526,0.00774389431195851,0.00540357138372607,0.0069213428633822,0.0139162305765428
0.5,0.689457548559349,0.172003704066467,0.121712850394651,0.201865329860278,1.96311,0.26417,0.082094,0.469796,0.00811521695934555,0.00666115549354754,0.00812783483291581,0.0134717900064505
0.5,0.814983097324021,0.150123066768642,0.159497462974894,0.184665170299018,1.56511,0.204571,0.0580693,0.442458,0.00923138903859671,0.00584295637954296,0.0106480189361083,0.0123225913882788
0.5,0.742094231488301,0.146000837614967,0.123759002731517,0.285538667102617,1.39849,0.239881,0.104862,0.815561,0.00854708251150147,0.00574872579722423,0.00826567818385331,0.0190489518272546
0.5,0.669132903727061,0.14861616433546,0.120847866225911,0.20923143412687,1.60981,0.241329,0.148771,0.441876,0.0079029410989394,0.00584795643147874,0.00807483444404653,0.0139661409196378
0.6,0.830090927591064,0.172358745803501,0.137965633857026,0.224231283590827,1.88377,0.272768,0.0648843,0.475622,0.00963412929554566,0.00664739342868203,0.00921116884743058,0.0149601514050449
0.6,0.584508329312312,0.147394332790869,0.142961079171787,0.305215836550888,1.48839,0.229107,0.0346778,0.784356,0.00725116926602463,0.0058006449017205,0.00954286117502697,0.0203591735514445
0.6,0.594699287308101,0.148670425813018,0.115384976791032,0.204363029314721,1.50687,0.224201,0.0506496,0.385829,0.00735937171109203,0.00577614557256728,0.00770799018944483,0.0136377214125996
0.6,0.708710913193944,0.154037848877903,0.120074800577557,0.228682013872902,1.74932,0.24864,0.118283,0.459602,0.00820690356939799,0.00600877940605495,0.00802545437875161,0.0152584308692156
0.7,0.777970910543456,0.1708910493952,0.126249985481617,0.160054003441675,1.39715,0.310756,0.0934649,0.395436,0.00877557010511504,0.00668216235768329,0.00842784087875387,0.0106887670349797
0.7,0.578808554614023,0.152296363584918,0.149464832784385,0.247580292124744,1.51236,0.243789,0.0310263,0.605015,0.00719099097190291,0.00588607614953187,0.00997586002279803,0.0165152423368154
0.7,0.644168398712069,0.17018795194914,0.126352598351213,0.222642321957522,1.63952,0.258632,0.0402093,0.509762,0.0076647978706015,0.00650288057114628,0.00843687726549559,0.0148563789452985
0.7,0.570581915732996,0.121804221768487,0.101202473334014,0.19721888400619,1.10063,0.224554,0.105034,0.385491,0.00700400455302479,0.00495269199627868,0.00676865627915993,0.0131640851485329
0.8,0.656765491355044,0.149060366031639,0.123387463837595,0.262282530352847,1.79718,0.235318,0.0265978,0.528161,0.00784861925699253,0.00581520616538185,0.00823827656969998,0.0174944380440793
0.8,0.716984442639803,0.172951044281782,0.152098395493996,0.337961744372407,1.96827,0.251334,0.0929699,0.676149,0.00846717464635117,0.00663258696440066,0.0101537015908365,0.0225402393965857
0.8,0.567219518665101,0.143899629495165,0.110891789498218,0.208710409720573,1.61712,0.240771,0.0843621,0.442919,0.00716107958145102,0.00563070692838584,0.00740857892948612,0.0139248262510387
0.8,0.676130781071987,0.125553450415668,0.112878307223421,0.259102674503416,1.5345,0.244765,0.100628,0.435252,0.00797127525357387,0.00506451515571217,0.00754365465623628,0.0172845219868097
0.9,0.689878973993996,0.149731637650215,0.134669576472588,0.211102550240542,1.51967,0.229366,0.00172006,0.416043,0.00823607906871602,0.00583728017159399,0.00898944218890291,0.0140847906792409
0.9,0.652871377159402,0.153900730137862,0.143104350423489,0.221549970542648,1.34368,0.25022,0.0168054,0.582333,0.00769482641387051,0.00597533794169133,0.00955275059010075,0.0147817052701645
0.9,0.655193143511208,0.166707832224354,0.121006449032495,0.245291198573785,1.72636,0.277973,0.0521108,0.706245,0.00782879748490772,0.00637556816605582,0.00808170707286749,0.0163637509343004
0.9,0.635852087773926,0.12976604275818,0.107459266132648,0.20004603008364,1.20112,0.235164,0.117658,0.417527,0.00759427873445196,0.00519131246306354,0.00718349273046831,0.0133518325324276
