time (s),elbow fe,forearm ps,wrist fe,wrist ru
0,-67.89659583,-7.568647897,0.587106029,14.24718013
0.5,-67.61795401,-7.71721215,0.698915658,14.24718013
1,-66.68914794,-8.014340655,0.810725286,14.09851975
1.5,-65.48170005,-8.385751287,0.810725286,13.72686882
2,-63.4383267,-8.757161918,0.754820472,13.20655751
2.5,-61.20919213,-8.905726171,0.251677144,12.61191602
3,-57.77260967,-9.054290423,-0.419180625,11.94294434
3.5,-54.70754964,-8.831444045,-0.978228767,11.42263303
4,-50.43504172,-8.757161918,-1.872705793,10.67933116
4.5,-46.53405622,-8.608597666,-2.711278005,10.30768022
5,-41.61138405,-8.608597666,-3.773469474,9.787368917
5.5,-37.52463734,-8.905726171,-4.6679465,9.415717983
6,-32.50908457,-9.277136802,-5.786042783,8.969736862
6.5,-28.32945725,-9.945675939,-6.680519809,8.523755741
7,-23.77830751,-10.46565082,-7.686806464,8.07777462
7.5,-20.15596384,-11.05990783,-8.413569048,7.631793499
8,-16.34785895,-11.50560059,-9.308046074,7.185812378
8.5,-13.37567953,-12.02557548,-10.14661829,6.739831256
9,-10.58926132,-12.39698611,-10.92928568,6.293850135
9.5,-8.545887962,-12.84267887,-11.82376271,5.847869014
10,-6.874037036,-13.13980737,-12.66233492,5.401887893
10.5,-5.945230966,-13.43693588,-13.72452639,5.030236959
11,-5.016424896,-13.65978226,-14.67490823,4.881576585
11.5,-5.109305503,-13.80834651,-15.84890933,4.732916212
12,-5.295066717,-13.88262863,-16.79929117,4.881576585
12.5,-6.13099218,-14.10547501,-17.91738745,4.955906772
13,-7.617081892,-14.25403927,-18.75595966,5.401887893
13.5,-9.103171604,-14.55116777,-19.59453188,5.773538827
14,-11.33230617,-14.77401415,-20.26538965,6.591170883
14.5,-13.37567953,-15.21970691,-20.65672335,7.334472751
15,-16.06921713,-15.73968179,-21.10396186,8.449425554
15.5,-18.48411291,-16.40822093,-21.10396186,9.49004817
16,-21.54917294,-17.22532432,-21.04805704,10.75366135
16.5,-24.14982994,-18.19099196,-20.71262816,12.01727452
17,-27.30777057,-19.08237748,-20.0976752,13.57820845
17.5,-29.90842757,-20.2708915,-19.48272225,14.990482
18,-32.9734876,-21.16227701,-18.53234041,16.70007629
18.5,-35.48126399,-22.20222678,-17.58195857,18.03801966
19,-38.17480159,-23.01933017,-16.29614784,19.59895358
19.5,-40.31105555,-23.98499781,-15.06624193,20.86256676
20,-42.81883194,-24.72781908,-13.89224083,22.20051012
20.5,-44.8622053,-25.39635821,-12.43871567,23.24113274
21,-46.99845926,-25.99061522,-11.26471457,24.35608554
21.5,-48.57742958,-26.58487223,-9.811189401,25.02505722
22,-50.2492805,-27.03056499,-8.637188304,25.84268928
22.5,-51.45672839,-27.624822,-7.239567951,26.43733077
23,-52.75705689,-28.14479689,-6.345090924,26.95764208
23.5,-53.40722114,-28.59048965,-5.450613898,27.32929301
24,-54.150266,-28.88761815,-5.003375385,27.62661376
24.5,-54.33602721,-29.25902878,-4.779756128,27.77527413
25,-54.33602721,-29.40759303,-4.835660943,27.92393451
25.5,-53.96450478,-29.55615729,-5.171089827,27.99826469
26,-53.50010175,-29.55615729,-5.674233155,27.99826469
26.5,-52.66417628,-29.55615729,-6.177376482,27.99826469
27,-51.73537021,-29.70472154,-6.904139066,27.99826469
27.5,-50.43504172,-29.70472154,-7.463187207,27.99826469
28,-49.22759383,-29.70472154,-8.245854605,27.92393451
28.5,-47.46286229,-29.85328579,-8.804902747,27.92393451
29,-45.88389197,-29.85328579,-9.643474959,27.77527413
29.5,-43.74763801,-29.92756792,-10.37023754,27.47795339
30,-41.89002587,-30.00185005,-11.26471457,27.32929301
30.5,-39.5680107,-29.85328579,-12.1591916,27.03197227
31,-37.24599552,-29.85328579,-12.88595418,26.66032133
31.5,-34.55245792,-29.70472154,-13.78043121,26.14001002
32,-32.04468153,-29.48187516,-14.45128898,25.54536853
32.5,-29.07250211,-29.11046453,-15.345766,24.87639685
33,-26.47184511,-28.7390539,-16.01662377,24.28175535
33.5,-23.22102387,-28.29336114,-16.85519598,23.31546292
34,-20.52748626,-27.84766838,-17.58195857,22.49783087
34.5,-17.36954563,-27.40197562,-18.47643559,21.30854788
35,-14.67600802,-26.88200074,-19.14729336,20.34225545
35.5,-11.33230617,-26.43630798,-19.92996076,18.9299819
36,-8.731649176,-25.84205097,-20.65672335,17.74069891
36.5,-5.573708538,-25.32207609,-21.32758111,16.25409517
37,-2.973051542,-24.72781908,-22.0543437,14.990482
37.5,0.092008489,-24.13356207,-22.50158221,13.50387826
38,2.50690427,-23.31645868,-23.11653517,12.1659349
38.5,5.386203087,-22.87076592,-23.56377368,10.60500097
39,7.522457048,-22.20222678,-24.12282182,9.267057609
39.5,9.93735283,-21.6822519,-24.51415552,7.631793499
40,11.88784558,-21.23655914,-25.01729885,6.293850135
40.5,14.11698014,-20.93943063,-25.52044218,4.732916212
41,15.69595046,-20.64230213,-26.0235855,3.394972848
41.5,17.5535626,-20.49373788,-26.4149192,1.834038925
42,18.76101049,-20.34517362,-26.69444327,0.496095562
42.5,19.96845839,-20.04804512,-26.91806253,-1.139168549
43,20.89726446,-19.75091661,-26.97396734,-2.402781725
43.5,21.73318992,-19.60235236,-27.02987216,-3.815055275
44,22.19759295,-19.45378811,-27.14168179,-4.930008078
44.5,22.56911538,-19.30522386,-27.36530104,-6.044960881
45,22.56911538,-19.1566596,-27.47711067,-6.862592936
45.5,22.38335417,-19.00809535,-27.5889203,-7.754555178
46,22.19759295,-18.71096684,-27.70072993,-8.349196673
46.5,21.5474287,-18.56240259,-27.70072993,-9.092498541
47,20.89726446,-18.41383834,-27.70072993,-9.687140036
47.5,20.06133899,-18.26527409,-27.70072993,-10.35611172
48,19.03965232,-18.11670983,-27.70072993,-10.72776265
48.5,17.83220442,-18.11670983,-27.5889203,-10.87642303
49,16.62475653,-18.11670983,-27.47711067,-10.87642303
49.5,15.13866682,-17.96814558,-27.25349141,-10.80209284
50,13.74545772,-17.96814558,-26.97396734,-10.4304419
50.5,12.07360679,-17.96814558,-26.63853846,-9.761470223
51,10.68039769,-17.96814558,-26.19129995,-9.315489102
51.5,8.729904939,-17.96814558,-25.68815662,-8.795177794
52,7.058054013,-17.81958133,-25.01729885,-8.274866486
52.5,4.921800052,-17.81958133,-24.34644108,-7.605894805
53,3.157068519,-17.81958133,-23.61967849,-7.01125331
53.5,0.835053345,-17.81958133,-23.00472554,-6.416611815
54,-1.115439402,-17.81958133,-22.50158221,-5.747640133
54.5,-3.34457397,-17.81958133,-21.77481963,-5.004338265
55,-5.480827931,-17.81958133,-21.04805704,-4.335366583
55.5,-7.802843106,-17.96814558,-20.20948483,-3.666394902
56,-9.939097067,-17.96814558,-19.42681743,-3.146083594
56.5,-12.35399285,-17.96814558,-18.58824522,-2.477111912
57,-14.49024681,-18.11670983,-17.86148264,-2.031130791
57.5,-16.90514259,-18.19099196,-17.13472005,-1.58514967
58,-19.04139655,-18.26527409,-16.5197671,-1.213498736
58.5,-21.45629233,-18.56240259,-15.7370997,-0.841847802
59,-23.49966569,-18.71096684,-14.89852749,-0.544527054
59.5,-25.91456147,-18.8595311,-14.11586009,-0.247206307
60,-27.95793482,-19.00809535,-13.27728788,-0.024215746
60.5,-30.37283061,-19.1566596,-12.60643011,0.124444627
61,-32.32332335,-19.23094173,-11.93557234,0.273105001
61.5,-34.45957731,-19.23094173,-11.3765242,0.496095562
62,-36.31718945,-19.23094173,-10.70566643,0.570425748
62.5,-38.54632402,-19.23094173,-10.14661829,0.719086122
63,-40.31105555,-19.23094173,-9.475760516,0.793416309
63.5,-42.35442891,-19.23094173,-8.916712375,0.867746496
64,-43.93339923,-19.23094173,-8.189949791,0.867746496
64.5,-45.88389197,-19.30522386,-7.63090165,0.867746496
65,-47.46286229,-19.30522386,-7.127758322,0.719086122
