time (s),elbow fe,forearm ps,wrist fe,wrist ru
0,-69.42949506,-4.398303944,2.536006407,-17.18802525
0.1,-69.05783822,-4.398303944,2.14633634,-16.96531954
0.2,-68.31452454,-4.249674698,1.533997663,-16.44567288
0.3,-66.64206875,-4.02673083,0.0866517,-15.4806148
0.4,-64.78378454,-3.878101584,-1.305027111,-14.14438053
0.5,-61.81052981,-3.729472338,-3.531713209,-12.65967579
0.6,-59.11601771,-3.655157715,-5.424396392,-10.58108916
0.7,-55.4923635,-3.580843092,-7.539748185,-8.799443469
0.8,-52.51910877,-3.50652847,-9.265429911,-6.646621596
0.9,-48.98836878,-3.50652847,-11.32511455,-4.716505435
1,-46.29385668,-3.50652847,-12.99512912,-2.563683562
1.1,-43.69225879,-3.580843092,-14.83214515,-1.078978822
1.2,-41.74106037,-3.655157715,-16.33515827,0.405725918
1.3,-40.16151879,-3.952416207,-17.94950569,1.222313525
1.4,-39.13946248,-4.175360075,-19.06284874,1.964665895
1.5,-38.76780564,-4.621247813,-19.95352318,2.113136369
1.6,-38.58197721,-5.06713555,-20.62152901,2.187371606
1.7,-39.3252909,-5.513023287,-20.78853047,1.964665895
1.8,-40.16151879,-5.810281779,-20.84419762,1.667724947
1.9,-41.55523195,-6.10754027,-20.62152901,1.445019236
2,-42.76311668,-6.404798762,-20.3988604,1.148078288
2.1,-44.62140089,-6.702057253,-20.06485748,1.073843051
2.2,-46.10802826,-6.999315745,-19.67518742,0.925372577
2.3,-48.05922667,-7.296574236,-19.17418305,0.925372577
2.4,-49.63876825,-7.593832728,-18.72884583,0.925372577
2.5,-51.31122404,-7.965405842,-18.39484291,1.148078288
2.6,-52.51910877,-8.262664333,-18.11650715,1.370783999
2.7,-53.81990772,-8.559922825,-18.00517284,1.59348971
2.8,-54.93487824,-8.782866694,-17.94950569,1.890430658
2.9,-56.04984877,-9.080125185,-18.11650715,2.187371606
3,-56.88607666,-9.303069054,-18.28350861,2.484312554
3.1,-57.72230455,-9.600327545,-18.72884583,2.929723976
3.2,-58.46561824,-9.823271414,-19.11851589,3.523605872
3.3,-58.83727508,-10.26915915,-19.67518742,3.82054682
3.4,-59.30184613,-10.56641764,-20.12052464,4.265958242
3.5,-59.67350297,-11.01230538,-20.62152901,4.562899189
3.6,-59.9522456,-11.45819312,-21.06686623,4.934075374
3.7,-59.85933139,-11.75545161,-21.40086914,5.231016322
3.8,-59.85933139,-12.0527101,-21.73487206,5.453722033
3.9,-59.39476034,-12.20133935,-21.95754067,5.602192507
4,-59.0231035,-12.34996859,-22.06887497,5.750662981
4.1,-58.00104718,-12.49859784,-22.23587643,5.750662981
4.2,-56.97899087,-12.57291246,-22.34721073,5.750662981
4.3,-55.21362087,-12.57291246,-22.23587643,5.602192507
